$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^どうせ出すなら、思いきり(.+?)の中に出したい。$	어차피 낸다면 마음껏 $1속에 내고 싶다.
$^(.+?)、ちょっと止まってくれ。$	$1좀 그친다.
$^俺の言葉に、(.+?)は素直に従って動きを止めた。$	나의 말에 $1는 순순히 따르고 움직임을 멈췄다.
$^出すなら、(.+?)の口の中に思いっきり出したいんだ。$	내면 $1의 입 속에 마음껏 내고 싶어.
$^(.+?)の返事を聞いて、俺はその口に思い切りペニスを捻じ込んだ。$	$1의 답장을 듣고 나는 그 입에 마음껏 페니스를 깊숙히 넣다.
$^(.+?)の身体をあますところなく、再び自分だけのモノにしたという欲望から、俺は乱暴に掻き回していく。$	$1의 몸을 적나라하지 않고 다시 자신만의 이루었다는 욕망에서 나는 난폭하게 뒤지어 간다.
$^激しく突き入れられるペニスに、(.+?)は苦しそうにしながらも、嫌がったりはしなかった。$	치열한 밀어넣는 페니스에 $1은 애처롭게도 싫어하지 않았다.
$^(.+?)の心遣いと口内の快感に、俺のペニスが限界へと近づく。$	$1의 마음 씀과 구내의 쾌감에 나의 페니스가 한계로 가까워지는.
$^あまりに乱暴にし過ぎたのか、苦しそうにする(.+?)。$	너무 거칠게 너무 했는지 가쁘게 한는 $1.
$^そう言いながら、俺は(.+?)の口にペニスを捻じ込む。$	그러면서 나는 $1의 말에 페니스를 깊숙히 넣는다.
$^出すよ、このまま(.+?)の口の中でっ！$	내어 이대로 $1의 입 안에서!
$^(.+?)は苦しそうにしながらも、ペニスに舌を這わせて、吸い上げる。$	$1은 애처롭게도 페니스에 혀를 올려서 뽑아 올리다.
$^ペニスで(.+?)を制圧する快感に身を委ね、俺は\1の喉奥に思い切りペニスを突き入れた。$	페니스에서 $1을 제압하는 쾌감에 몸을 싣고 나는\1의 목 안에 있는 힘껏 페니스를 밀어넣다.
$^(.+?)の頭を逃がさないように頭を押さえつけ、喉奥に精液を迸らせる。$	$1의 머리를 놓치지 않도록 머리를 짓누르고 목 안에 정액을 말려들게 한다.
$^あまりの快感に腰が抜けそうになってしまうが、一滴たりとも零させないと俺は(.+?)の口内を犯し尽くしていく。$	여의 쾌감에 허리가 빠지게 되어 버리지만 한 방울이라도 흘리지 않으면 나는 $1의 구내를 저지르 다한다.
$^尿道に残った俺の精液を、(.+?)は丹念に吸い上げる。$	요도에 남은 내 정액을 $1은 정성껏 뽑아 올리다.
$^それから(.+?)は、まだ物足りなそうに、俺のペニスに舌を這わせて掃除した。$	그리고 $1는 아직 부족한 듯 나의 페니스에 혀를 올려서 청소했다.
$^一通りペニスを掃除し終えると、(.+?)は口を離した。$	대충 페니스를 청소하고 나서 $1는 입을 뗐다.
$^(.+?)は嬉しそうにしているが、まだ足りない。$	$1은 기쁜 듯이 있지만 아직 부족하다.
$^これで終わりじゃないよね、(.+?)。$	이것이 끝이 아니지, $1.
$^俺の言葉に(.+?)は頷いて、体勢を変えた。$	나의 말에 $1은 수긍하면서, 자세를 바꿨다.
$^そのまま、(.+?)の秘部に俺のペニスを当てがう。$	그대로 $1의 음부에 내 페니스를 당테가우.
$^いきなりの挿入に(.+?)は大きな声を上げた。$	갑자기 삽입 $1은 큰 목소리를 높였다.
$^あれ、(.+?)。もしかして、挿れられただけでイっちゃったの？$	이런, $1. 혹시 넣을 수 있는 것만으로돘어?
$^少し息を荒くして、(.+?)は恥ずかしそうに言った。$	잠시 숨을 당황하고 $1는 수줍게 말했다.
$^(.+?)の息は荒いが、しかしそう言うならと、俺は腰を動かし始めた。$	$1의 숨결은 거칠지만 그러나 그렇다면, 나는 허리를 움직이기 시작했다.
$^(.+?)を染め上げていくように、その膣内をあますところなくペニスで擦り上げる。$	$1을 물들인다는 것처럼 그 질 내를 적나라하지 않는 페니스에 문지르다!!
$^きつく締め上げる膣内を味わうように腰を振っていると、(.+?)の中がヒクヒクと震え始めた。$	단단히 죄어 매다. 체내를 겪게 허리를 흔들고 있다고 $1속이 히쿠히쿠와 떨기 시작했다.
$^(.+?)の肉襞が蠢き、収縮して俺のペニスから精液を絞り出そうと熱く震えた。$	$1소음순이 우글거리는 수축해서 나의 페니스에서 정액을 짜내라고 뜨겁게 떨렸다.
$^(.+?)、またイったの？$	$1다시 갔어?!!
$^俺は腰の動きを止めて、絶頂の余韻に浸っている(.+?)に聞いた。$	나는 허리의 움직임을 멈추고 절정의 여운에 젖어 있다 $1에게 물었다.
$^(.+?)のおまんこ、まだ俺のチンポを締め付けてるよ。エッチなおまんこだね。$	$1오만코, 아직 내 고추를 옥죄고 있어. 야한 오망코네.
$^エッチで可愛い(.+?)の言葉に、俺はそう答えた。$	( 귀엽다 $1의 말에 나는 그렇게 대답했다.
$^嬉しそうに喘ぎ声を上げながら、(.+?)は大きな声で言った。$	흐뭇하게 신음 소리를 지르며 $1은 큰 목소리로 말했다.
$^(.+?)の情熱的な言葉を聞いて、俺はその胸に手を伸ばす。$	$1정열적인 말을 듣고 나는 그 가슴에 손을 펴다.
$^(.+?)の物欲しげな声に、俺の中で込み上げるものがあった。$	$1 갖고 싶어 하는 듯한 목소리에 내 마음 속에서 치미는 것이 있었다.
$^分かってるよ、(.+?)。もうすぐ出すから……！$	알고 있어요, $1. 이제 곧 쌀테니까……!
$^愛液が滴る(.+?)の膣内を、俺のペニスで味わい尽くしていく。$	애액이 듣다 $1의 질 내를 나의 페니스에서 맛 보는 다할 것.
$^快感に咽ぶ声を聞きながら、俺は(.+?)の膣内、その子宮を俺の精液で満たすべく、思いきり腰を打ちつける。$	쾌감에 우는 소리를 들으며 나는 $1의 질 내, 그 자궁을 나의 정액에서 충족시킬 수 있도록 한껏 허리를 박다.
$^そろそろ出すよ、(.+?)！$	슬슬 내게 $1!
$^甘くねだる(.+?)の声に、俺のペニスがさらに硬くなっていく。$	달콤한 조르다 $1의 목소리에 나의 페니스가 더 굳어진다.
$^そうだね。俺も、(.+?)のイク顔が見たい。$	그래 나도 $1의 이쿠 얼굴을 보고 싶다.
$^正面から(.+?)に抱きつくと、\1は俺を逃すまいとばかりに足を絡ませた。$	정면으로 $1를 껴안자\1은 나를 놓치지 않고 발을 입힌.
$^(.+?)の歯も歯茎も味わい、唾液を流し込ませる。$	$1의 치아도 잇몸도 맛 보며 침을 붓는.
$^このまま、出すよ……！　(.+?)、ちゃんとおまんこで、俺の精液を飲むんだよ？$	이대로 냈어... $1잘 오망코에서 나의 정액을 먹어?!!
$^顔を離して、俺は(.+?)を見た。$	얼굴을 떼서, 나는 $1을 보았다.
$^俺は(.+?)に抱きつくと、一番奥までペニスを捻じ込んだ。$	나는 $1를 껴안자, 가장 안쪽까지 페니스를 깊숙히 넣다.
$^俺の最後の一突きと共に(.+?)も絶頂する。$	나의 마지막 찌르기 한번과 함께 $1도 절정 한다.
$^(.+?)の顔を見ながら、どくどくっと精液を膣内に吐き出していく度に、征服感と放出感で堪らなく心地良くなる。$	$1의 얼굴을 보며 콸콸 하고 정액을 질 내 뱉어 낼 때마다 정복감과 방출감으로 견딜 수 없게 기분 좋고 된다.
$^絶頂の余韻に浸りながら、(.+?)は甘い声を漏らした。$	절정의 여운에 잠기며 $1은 달콤한 목소리를 터뜨렸다.
$^(.+?)は俺の専属だ。誰にも渡さない。$	$1은 나의 전속이다. 누구에게도 주지 않는다.
$^(.+?)の心からの言葉に、俺の中で再び欲望が沸き起こり始めた。$	$1마음의 말에 내 마음 속에서 다시 욕망이 들끓기 시작했다.
$^(.+?)もその事に気付くと、緩んでいた足に力を込める。$	$1도 그 것을 깨닫자, 느슨해지고 있던 다리에 힘을 재다.
$^そんな(.+?)に欲望をぶつけるべく、俺は再びその身体に没頭するのだった。$	그런 $1에 욕망을 부딪칠 수 있도록, 나는 다시 그 몸에 몰두하는 것이었다.
$^(.+?)はまだ泣いているものの、段々と落ち着いてくる様子を見せていた。$	$1은 아직 울고 있지만 점점 침착하는 모습을 보였다.
$^(.+?)の様子に、俺は胸が温かくなった。$	$1의 모습에 나는 가슴이 따뜻해졌다.
$^(.+?)の健気な言葉を聞いて、俺はその胸に手を伸ばす。$	$1의 기특한 말을 듣고 나는 그 가슴에 손을 펴다.
$^(.+?)はまだぐずっているものの、段々と落ち着いてくる様子を見せていた。$	$1은 아직 슬프게 말하고 있지만 점점 침착하는 모습을 보였다.
$^(.+?)の純真な様子に、俺は胸が温かくなった。$	$1의 순진한 모습에 나는 가슴이 따뜻해졌다.
$^しばらく……本当に長い間、俺は(.+?)を抱きしめていた。$	잠시...정말 오랫동안 나는 $1을 껴안고 있었어.
$^俺はようやく(.+?)から事情を聞いたのだった。$	나는 겨우 $1에서 사정을 들었다.
$^違うよ、(.+?)の口の中に思いっきり出したいんだ。$	아니야, $1의 입 속에 마음껏 내고 싶어.
$^あまりの快感に、腰が抜けそうになってしまうが、一滴たりとも零させないとばかりの俺は(.+?)の口内を犯し尽くしていく。$	너문 쾌감에 허리가 빠지게 되어 버리지만 한 방울이라도 흘리지 않겠다고만 나는 $1의 구내를 저지르 다한다.
$^部屋にいると、(.+?)がやってきて一枚のディスクを手渡された。$	방에 있으면 $1가 찾아와서 한장의 디스크를 받았다.
$^(.+?)が、他の男に抱かれる、その背徳的な興奮をもう一度味わいたくて、俺は専属メイドである\1に動画を撮ってきてもらったのだ。$	$1이 다른 남자에게 안기는 그 도리에 어긋남적인 흥분을 한번 맛 보고 싶어 나는 전속 가정부인\1에 동영상을 찍어 와서 받은 것이다.
$^言いよどみながらも、ゆっくりと話し続ける(.+?)。$	여짓여짓하다면서도 천천히 계속하는 $1.
$^(.+?)は小さく頭を振ってから、もう一度こちらに向き直る。$	$1은 작은 머리를 흔들면서 다시 이쪽으로 방향을 바꾼다.
$^うん。ありがとね、(.+?)。$	응. 고마웠어, $1.
$^(.+?)はきちんと命令通りに撮影をしてきたようだ。$	$1은 제대로 명령대로 촬영을 하고 왔다!!
$^本当に、このディスクの中に、他の男と乱れる(.+?)の姿が。$	정말 이 디스크 속에 다른 남자로 무너진다 $1의 모습이.
$^(.+?)は何かを言いかけて、きゅっと唇を引き結ぶ。$	$1은 무언가를 했다가 꾹 입술을 다물다..
$^当たり前だよ。俺は恥ずかしがってる(.+?)が見たいんだから。$	기본이야. 나는 부끄러워하는 $1가 보고 싶으니까.
$^(.+?)は耳まで真っ赤にして、小さく呟いた。$	$1는 귀까지 새빨갛게 하고, 작은 중얼거린다.
$^恥ずかしがる(.+?)を隣に呼び寄せてから、俺は再生ボタンを押した。$	수줍어하는 $1를 옆으로 끌어들이고 우리는 재생 버튼을 눌렀다.
$^はーい。それじゃあ改めて、こんにちは、(.+?)ちゃん。$	네~. 그럼 다시! $1양.
$^えーっと、じゃあまず、(.+?)ちゃんはこのエンパイアクラブに所属するメイドさん、なんだよね？$	음 그럼 우선 $1양은 이 엠파이어 클럽에 소속하는 메이드 씨, 뭐야?!!
$^そっかぁ。今回は(.+?)ちゃんの紹介用動画ということだけど、今どんな気分かな？$	그래?. 이번에는 $1너의 소개용 동영상다던데, 지금 어떤 기분일까?!!
$^そっか、ご主人様が羨ましいなぁ……(.+?)ちゃんみたいな可愛い女の子の処女をもらえるなんてね。$	그래거나 주인이 부럽네... $1양 같은 귀여운 여자의 처녀를 주다니~!!
$^それでさ……確か、(.+?)ちゃんはお尻でエッチしたこと、あるんだよね？$	그래서……확실히, $1양은 엉덩이에서 잔 적 있어?!!
$^へぇえ～っ！　意外だなぁ、(.+?)ちゃんみたいなガードの硬そうな女の子がけつまんこでセックスしちゃってたんだ？$	아 에~! 놀랍구나 $1양 같은 가드의 딱딱한 듯한 여자가 엉덩이 보지 섹스하고 있었어?!!
$^(.+?)ちゃんってさぁ、意外と淫乱なんじゃない？$	$1양은 말이지, 의외로 음란한 거 아냐?!!
$^うーん、お約束ってやつかな。これを見てくれる人に、(.+?)ちゃんのことを知ってもらわなくちゃいけないからさ。$	음, 약속 같은 걸까?이를 보고 준 사람에게 $1양의 것을 알고 받지 않으면 안 되니까
$^うん、カメラに向かって教えてくれる？　(.+?)ちゃんが気持ちよくなっちゃうところ。$	응, 카메라를 향해서 언제니? $1양이 기분 좋게 되는 곳.
$^すごいな、(.+?)ちゃんは……$	굉장한 $1양은……!!
$^ふふ、エッチな(.+?)ちゃんは、普通の女の子よりやっぱり感じちゃうかな？$	ㅎㅎ 야한 $1양은 보통 여자보다 역시 느낄까?!!
$^(.+?)ちゃんはハメながらクリを触られるのが好き、なんだ……ふふっ……$	$1양은 하메면서 밤을 만지는 게 좋아하거나 뭐다....후훗……!!
$^はは、赤くなっちゃって。じゃあ、(.+?)ちゃんはいい意味で真っ白な女の子って事なのかな？$	엄마, 빨개져서. 그럼 $1양은 좋은 뜻에서 새하얀 여자 아이들은 일일까?!!
$^何かあるみたいな言い方しちゃって！　ふふ、可愛いなぁ、(.+?)ちゃんは。$	뭔가 있는 같은 말투는 버려라ㅎㅎ 귀엽네 $1양은.
$^(.+?)ちゃん、ちょっと緊張気味かな、リラックスして答えてね……えーっと、\1ちゃんのご主人様から聞いたんだけどさ、\1ちゃんってちょっとエムっぽいところ……あるんだ？$	$1양, 좀 긴장 기색일까, 편안하고 답하고……음. 1너의 주인부터 들었는데,\1너가 좀 엠는 곳... 있어?!!
$^へぇぇ……(.+?)ちゃんは痛いのが好きなマゾなんだ？$	에 음... $1양은 아픈 게 좋아하는 마조이야?!!
$^……(.+?)ちゃん、さっきから照れてるけど、ちょっと嬉しそうな感じするね？　変態っぽい事もご主人様としたりしちゃってる？$	…… $1야 아까부터 쑥스럽지만 좀 기쁜 듯한 느낌이?변태 같은 일도 주인게 하거나 되지?!!
$^……ねぇ、(.+?)ちゃんは自分からしたりするのが好きだったりする？$	……저기, $1짱은 나보고 하기를 좋아했다거나 하지?!!
$^う～ん。(.+?)ちゃんはよく出来たメイドさんだね。$	음. $1양은 잘 만들어진 메이드 씨네.
$^う～ん、(.+?)ちゃんはよく出来たメイドさんだねぇ。ご主人様が羨ましいよ。$	으~응, $1짱은 잘 만들어진 메이드 씨예요. 주인님이 부럽네.
$^そういえば(.+?)ちゃんはちょっと変わったエッチの経験はあるのかな？$	하긴 $1양은 색다른 에이치의 경험은 있어?!!
$^そっか、(.+?)ちゃんはご主人様に大事にされてるんだね。$	그래거나 $1양은 주인에게 소중하게 여겨지는군요.
$^たしかに、でも気持ちわかるよ。(.+?)ちゃん可愛いからね。$	하긴 해도 기분 알아요. $1너 귀여우니까요.
$^そんな事無いよ！　僕は(.+?)ちゃんみたいな女の子、大好きだな……$	그런 일 없어!나는 $1양 같은 여자, 좋아하구나..!!
$^本当に(.+?)ちゃんのご主人様が羨ましくなってきたなぁ……$	정말 $1너의 주인이 부럽다....!!
$^そんな事ないよ、可愛いよ、(.+?)ちゃん。むしろ僕はそっちのほうが好きだなぁ。$	그런 거 아니야, 귀엽다 $1양. 오히려 나는 그게 더 좋아하구나.!!
$^全然、(.+?)ちゃんのおっぱい、すっごくかわいいよ～$	전혀 $1양의 젖가슴, 굉장히 귀여웠어~!!
$^おぉ～……！　(.+?)ちゃんのおっぱい、大っきくて柔らかそうだねぇ。$	오~... $1양의 가슴, 큼직한고 부드러운 것 같네.
$^おぉ～……！　キレイだよ、(.+?)ちゃん。ちっちゃいけど、それがすっごく可愛い……！$	오~……! 이뻤어 $1양. 작지만, 그것이 굉장히 귀여운...!!
$^おおっ？　(.+?)ちゃんのアソコつるつるだね？　ご主人様の趣味かな？$	오오? $1양 아소코 반들반들하다?주인의 취미?!!
$^知ってる？　こういうのパイパンっていうんだよ？　(.+?)ちゃんってパイパンなんだ。$	알아?이런 거 파이 빵이라고 말하는 거야? $1양이 파이 빵이야!!
$^どうしたの、(.+?)ちゃん？　もうここまでしちゃってるんだからさ、どうせならこれを見てる人に楽しんでもらおうよ。$	어떻게 한 거 $1이야?이제 여기까지 되는 거니까 이왕이면 이것을 보는 사람에게 즐거움을 주거든요.
$^(.+?)ちゃんはエッチだね。$	$1양은 야하네.
$^そんな、我慢する必要なんてないよ。カメラに向かって、(.+?)ちゃんがイクところを見てもらおうね。$	그 인내할 필요는 없지. 카메라를 향하여, $1양이 라이크 곳을 보고 받네.
$^(.+?)ちゃん、積極的だね。$	$1양, 적극적이네.
$^あぁ、そこいいよ……。(.+?)ちゃん、上手上手。$	아, 거기 좋아……. $1양, 잘 잘하지.
$^さすがだね、(.+?)ちゃん！　すごいテクだよ。$	역시네 $1야!너무 테크이야.
$^(.+?)ちゃんのフェラテク、すごいな……。こんなの、すぐに出ちゃうな。……\1ちゃんの口に出していいか？$	$1양의 펠라티오 테크닉, 굉장하네……. 이런 것, 바로 나올?……\1너의 입에 내도 된다?!!
$^(.+?)ちゃんは精液大好きなんだね。$	$1양은 정액 아주 좋아하는 모양이야.
$^いい顔だよ、(.+?)ちゃん。ご主人様のをしゃぶるときもこんな顔なのかな？$	좋은 얼굴이야 $1양. 주인님을 빨다 때도 이런 얼굴일까?!!
$^んっ……！　僕のも全部飲んでね、(.+?)ちゃん。$	응!...나도 다 마시네 $1양.
$^しかもお掃除まで……あぁ、気持ち良いよ、(.+?)ちゃん。$	게다가, 청소까지…아, 기분 좋아 $1양.
$^(.+?)ちゃんのフェラテク、中々いいね。もうこんなに硬くなっちゃったよ。$	$1양의 펠라티오 테크닉, 좀처럼 좋겠다. 벌써 이렇게 굳어 버렸어.
$^(.+?)ちゃんさ、どっちのチンポの方が好き？$	$1양, 어느 물건 쪽이 좋아?!!
$^それじゃあさ。(.+?)ちゃんのご主人様のと、どっちがいい？$	그럼 말이야. $1너의 주인과, 어느 쪽이 좋아?!!
$^そっか。それじゃあまあ、(.+?)ちゃんのご主人様と同じくらいって事にしておこうか。$	그래?그럼 뭐, $1너의 주인과 비슷하다는 것에 둘까.
$^それじゃ(.+?)ちゃん、今日はどこの穴でエッチでするんだっけ？$	그럼 $1양, 오늘은 어느 구멍에서 앞으로 하더라?!!
$^えー、(.+?)ちゃん。ダメだよ、カメラに向かって、ちゃんとご主人様に報告しなきゃ。$	어 $1양. 안 되어 카메라를 향해서 제대로 주인에게 보고하지 않으면.
$^ちゃんと言えて偉いね、(.+?)ちゃん。$	제대로 하고 장하다 $1양.
$^じゃあ、(.+?)ちゃんのおまんこにチンポ入れちゃうよ。$	그럼 $1양의 보지에 고추 넣어요.
$^俺も気持ちいいよ、(.+?)ちゃんのおまんこ。すごい締めつけなのに、熱くて、ぬるぬるで……最高だよ。$	나도 기분 좋아 $1양 오만코. 너무 옥죄기인데, 뜨거워서 흰자위로...최고야.
$^はは、次に(.+?)ちゃんとおまんこするチンポだからね。丁寧に頼むよ。$	엄마, 다음에 $1잘 오망코는 고추야~잘 부탁하네.
$^そろそろこっちもイキそうだから、一緒にイこうか(.+?)ちゃん。$	이제 이쪽도 이키 그러니까 같이 가나 $1양.
$^(.+?)ちゃん、どこに出して欲しい？$	$1아 어디에 내고 싶어요?!!
$^実はね、(.+?)ちゃんのご主人様から中はダメだって言われてるんだけど……$	실은 $1너의 주인으로 안은 안 된다고 말하고 있는데……!!
$^(.+?)ちゃんが中でいいって言った場合だけ、中出ししてもいいって言われてるんだ。$	$1양이 안에서 좋다고 한 경우만, 질 내 사정해도 좋다고 했어.
$^俺は(.+?)ちゃんに中出ししたいなぁ……熱くて濃い精液、たくさん出してあげるよ？$	나는 $1양에게 질 내 사정하고 싶다…… 뜨겁고 진한 정액 많이 내주어?!!
$^そうだよ、(.+?)ちゃん。\1ちゃんが望むなら、俺たちが何回だって中出ししてあげるからさ。$	그래 $1양.\1양이 원한다면 우리가 몇번이라고 질 내 사정하고 주니까
$^派手にイったね、(.+?)ちゃん。$	야단을 갔네 $1양.
$^ははっ、よく言えたね、偉いよ(.+?)ちゃんっ！$	하핫, 잘 할 수 있네, 장해 $1양!
$^マジで最高だったよ、(.+?)ちゃん。$	정말로 최고였어요 $1양.
$^ああ……すごい気持ちよかったよ、(.+?)ちゃん。$	아……너무 좋았어 $1양.
$^じゃあ、(.+?)ちゃんの可愛いけつまんこにチンポ入れちゃうよ。$	그럼 $1양의 귀여운 엉덩이 보지에 고추 넣어요.
$^俺も気持ちいいよ、(.+?)ちゃんのけつまんこ。チンポをぎゅうって締めつけて、熱くて……最高だよ。$	나도 기분 좋아 $1양의 엉덩이 보지. 고추를 꼬옥 하고 죄, 뜨겁고……최고야.
$^はは、次に(.+?)ちゃんを気持ちよくするチンポだからね。丁寧に頼むよ。$	엄마, 다음에 $1양을 기분 좋게 자지야~잘 부탁하네.
$^今の(.+?)ちゃんのけつまんこ、キツすぎずユルすぎずで、すごくいいよ。$	지금 $1양의 엉덩이 보지, 키쯔 뿐 널럴한 뿐이고, 정말 좋아.
$^(.+?)ちゃんけつまんこでするの好き？$	$1양 엉덩이 보지로 하는 것 좋아?!!
$^あぁ、そんなに変態な(.+?)ちゃんには……$	아, 그렇게 변태 같은 $1이한테는……!!
$^挿れるよ、(.+?)ちゃん。$	넣어 $1양.
$^(.+?)ちゃん、気持ち良さそうな声になってきたね。２穴でハメられるのってどんな感じ？$	$1양, 기분 좋은 듯한 목소리로 됐구나. 2구멍에서 하메는 것은 어떤 느낌?!!
$^もう少しだから(.+?)ちゃん、我慢して……！$	좀 더 그래서 $1짱, 참고……!
$^動画が終わり、俺は傍らに控える(.+?)に目を向けた。$	동영상이 끝나고 나는 옆에 둔다 $1에 눈을 돌렸다.
$^(.+?)はその身体をビクッと震わせたあと、不安の色をたたえた瞳で見つめ返してくる。$	$1은 그 몸을 움찔 떨었다 그리고 불안의 빛을 띤 눈으로 바라보는 돌려주지.
$^(.+?)を落ち着かせるために、静かにそう口にする。$	$1을 가라앉히는 데 조용하게 말한다.
$^(.+?)を犯したい。$	$1을 저지르고 싶다.
$^いきり立ったペニスを、今すぐにでも(.+?)に突っ込んで喘がせてやりたい。$	격분한 페니스를 당장이라도 $1을 들이받고 허덕이도록 하고 싶다.
$^(.+?)……俺が今なにを考えてるか、わかる？$	$1……내가 지금 무엇을 생각하고 있는지, 알아?!!
$^目を伏せて声を震わせる(.+?)に、なにも悪いところはない。撮影を決めたのは俺だからだ。$	눈을 내리뜨고 목소리를 떨 $1에 아무것도 나쁜 곳은 없다. 촬영한 것은 나 때문이다.
$^だが、専属メイドである(.+?)が、名前も知らない二人の男を相手に乱れていた。$	이지만, 전속 가정부인 $1이 이름 모를 두 남자를 상대로 어수선했다.
$^(.+?)に生で挿入したまま、身体を震わせて射精する男の姿が思い出される。$	$1에 직접 삽입한 채 몸을 떨고 사정하는 남자의 모습이 떠오른다.
$^アナルに挿入され、歓喜に震える(.+?)の表情が思い出される。$	에널에 삽입되어 환희에 떨 $1의 표정이 떠오른다.
$^自分への思いからか、戸惑う場面もあったが、最後には喜んで男たちのペニスを受け入れていた(.+?)の姿が思い出される。$	자신에의 마음 때문인지 당황하기도 했지만 막판에는 기꺼이 남자들의 페니스를 받아들였다 $1의 모습이 떠오른다.
$^立ち上がり、(.+?)の手首を握りしめる。$	뜨고 $1의 손목을 쥐다.
$^強く握りしめたにも関わらず、(.+?)は抵抗することもなく俺の後をついてくる。$	강하게 움켜쥐었다에도 불구하고 $1은 저항하기도 아닌 나의 뒤를 따라온다.
$^部屋に篭って事務仕事を片付けていると、(.+?)がやってきて、一枚のディスクを手渡された。$	방에 틀어박혀서 사무 업무를 마치고 있다고 $1가 찾아와서 한장의 디스크를 받았다.
$^(.+?)が、他の男に抱かれる。その背徳的な興奮をもう一度味わいたくて、俺は専属メイドである\1に動画を撮ってきてもらった。$	$1이 다른 남자에게 안기다. 그 패덕적인 흥분을 한번 맛 보고 싶어 나는 전속 가정부인\1에 동영상을 찍어 와서 받았다.
$^(.+?)ちゃんってばエッチだから、やった事あると思ったんだけどなぁ。$	$1양이라니까 야하니까, 한 일이 있다고 했는데..!!
$^怯えてしまったのか、目を伏せて声を震わせる(.+?)に、なにも悪いところはない。撮影を決めたのは俺だからだ。$	, 버렸는지 눈을 내리뜨고 목소리를 떨 $1에 아무것도 나쁜 곳은 없다. 촬영한 것은 나 때문이다.
$^へぇえ～っ！　意外だなぁ、(.+?)ちゃんみたいな純真な女の子がけつまんこでセックスしちゃってたんだ？$	아 에~! 놀랍구나 $1양 같은 순진한 여자가 엉덩이 보지 섹스하고 있었어?!!
$^ふふ、初心で可愛いね、(.+?)ちゃんは。エッチな女の子だったら3Pぐらいした事があるんじゃないかなぁ？$	ㅎㅎ초심으로 귀엽구나 $1양은. 야한 여자라면 3P정도 한 적이 있잖아요?!!
$^(.+?)ちゃんって、綺麗なおまんこしてるんだね……よく見えるよ。$	$1양은 깨끗한 보지 하는구나……잘 보인다.
$^じゃあ、(.+?)ちゃんの可愛いアナルにチンポ入れちゃうよ。$	그럼 $1양의 귀여운 똥꼬에 고추 넣어요.
$^今の(.+?)ちゃんのアナル、キツすぎずユルすぎずで、すごくいいよ。$	지금 $1양의 아날, 키쯔 뿐 널럴한 뿐이고, 정말 좋아.
$^ははは、ごめんね……これを見てくれる人に、(.+?)ちゃんのことを知ってもらわなくちゃいけないからさ。$	하하, 미안.....이것을 보고 준 사람에게 $1양의 것을 알고 받지 않으면 안 되니까
$^僕は(.+?)ちゃんみたいな女の子、大好きだな……$	나는 $1양 같은 여자, 좋아하구나..!!
$^可愛いよ、(.+?)ちゃん。むしろ僕はそっちのほうが好きだなぁ。$	귀엽다 $1양. 오히려 나는 그게 더 좋아하구나.!!
$^(.+?)は部屋に居るかな……？$	$1은 방에 있을까……?!!
$^仕事を全て片付け、手が空いた所で(.+?)の部屋へと向かう。$	일을 모두 치우고 손이 빈 곳에서 $1의 방으로 향한다.
$^(.+?)、入るよー？$	$1 들어?!!
$^俺はついノックもせずに扉を開けて、(.+?)の部屋へと入ってしまった。$	나는 그만 노크 없이 문을 열고 $1의 방으로 들어갔다.
$^すると(.+?)は尋常ではないくらいに慌てる。$	하면 $1은 심상치는 없을 정도로 당황.
$^どうかしたの、(.+?)？$	무슨 일 있어 $1?!!
$^わざとらしい笑みを浮かべて、(.+?)はそう言って誤魔化す。$	부자연스러운 미소를 지으며 $1은 그러면서 속이다.
$^それで誤魔化せると思っているところが、(.+?)らしくて可愛い。$	그것으로 넘어갈 거라 생각하고 있는 곳이 $1스럽고 귀엽다.
$^(.+?)が隠していたものを、隙を突いて強引に奪い取る。$	$1가 쉬쉬했던 것을, 틈바구니에서 무리하게 앗아간다.
$^(.+?)はかなり慌てるが、俺から奪い返すことは出来ない。$	$1은 다소 당황하지만 내가 탈환할 수 없다.
$^えっと……これが(.+?)の『超重要♪』なんだ？$	그러니까 이거 $1『는 중요하 ♪ 』 거야?!!
$^そう尋ねてみると、(.+?)はもう諦めたのか、頬を赤らめつつ頷く。$	그렇게 물으면 $1은 이제 포기했나, 볼을 붉히고 고개를 끄덕이다.
$^そう考えると嬉しくなるのと同時に、俺も(.+?)のそういった画像が欲しくなる。$	그렇게 생각하면 너무 좋다 것과 동시에 나도 $1 그러한 화상이 궁하다.
$^いや、別に構わないけど……その代わり、俺にも撮らせて欲しいな、(.+?)の画像を。$	아니, 별로 상관 없지만……그 대신, 나도 찍어 주면 좋겠는데 $1의 화상을.
$^(.+?)は驚いて恥ずかしがるが、俺の画像を持っていても良いという交換条件に、心が揺れているようだった。$	$1는 놀라고 수줍어하다만, 나의 화상을 갖고 있어도 좋다는 교환 조건에 마음이 흔들리는 듯했다.
$^(.+?)ばっかり撮ってるのは、ずるいと思わない？$	$1만 찍는 것은 교활하지 않아?!!
$^痛いところをつかれたのか、(.+?)は何も言い返せない。$	아픈 곳을 찔렀는지 $1은 아무것도 응수할 수 있다 없다.
$^恥ずかしそうにポーズを取る(.+?)を前に、俺はシャッターを切っていく。$	수줍게 포즈를 취한다 $1을 앞두고 나는 셔터를 누른다.
