$^遠いところありがとうね、(.+?)くん。$	먼 곳까지 와줘서 고마워요, $1군.
$^リスの様子を思い出しながら、懸命に語っていた(.+?)だったが、不意に言葉を止めてこちらをじっと見る。$	다람쥐의 모습을 떠올리면서 열심히 말하고 있던 $1였지만, 갑자기 말을 멈추고 이쪽을 가만히 본다.
$^ふわりとこちらに体重を預け、幸せそうにする(.+?)の肩を、俺はそっと抱き寄せるのだった。$	살짝 이쪽에 몸을 맡기고 행복해 하는 $1의 어깨를, 나는 살며시 껴안는 것이었다.
$^どうしたの？　何か相談かな、(.+?)。$	무슨 일이야? 무슨 상담이려나, $1.
$^そんな事はないよ。(.+?)は綺麗なんだし、とっても似合うと思ってるよ。$	그건 아니야. $1는 예쁘고, 너무 잘 어울린다고 생각하고 있어.
$^自信を持って、(.+?)。大丈夫、俺が保証するから。$	자신을 가져, $1. 괜찮아, 내가 보증하니까.
$^早速試してみようとした(.+?)は、回ろうとしたところでバランスを崩し、転んでしまう。$	바로 시험해 보려고 했던 $1는, 돌려다가 밸런스가 무너져서 넘어져 버린다.
$^だ、大丈夫、(.+?)？$	괘, 괜찮아, $1?
$^(.+?)に淹れてもらったコーヒーを一口すする。$	$1가 갖다 준 커피를 한모금 마신다.
$^うん、いつも通り美味しいよ。ありがとう、(.+?)。ほら、一緒に飲もう。$	응, 언제나처럼 맛있어. 고마워, $1. 자, 같이 마시자.
$^いただきますと言いつつ、(.+?)は一向にカップを口に運ぼうとしない。$	잘 마실게요라고 하면서 $1는 전혀 컵을 입에 대려고 하지 않는다.
$^顔をしかめた(.+?)を見て、彼女のコーヒーがブラックだったことに気づいた。$	얼굴을 찡그린 $1를 보고, 그녀의 커피가 블랙이라는 것을 깨달았다.
$^俺がミルクポットとスティックシュガーを渡してあげると、(.+?)は少し迷った後、いつものようにそれをコーヒーに加えた。$	내가 우유 포트와 스틱 설탕을 건네 주니, $1는 조금 망설이다, 평소처럼 그것을 커피에 넣었다.
$^それこそ子供のように可愛い(.+?)の主張を聞いて、思わず小さく吹きだしてしまう。$	그야말로 아이처럼 귀여운 $1의 주장을 듣고, 무심코 장난기가 생긴다.
$^そんなことしなくても十分気品は身についてきたように思えていたが、子供のように顔をしかめてコーヒーを飲む(.+?)を見て、ついつい顔が緩んでしまう俺だった。$	그런 걸 하지 않아도 충분히 기품이 몸에 배었다고 생각하고 있었지만, 아이처럼 얼굴을 찡그리고 커피를 마시는 $1를 보니, 무심코 표정이 느슨해져 버리는 나였다.
$^エレガンスメイドになった(.+?)は、気品あるメイドを目指して頑張り続けていた。$	엘레강스 메이드가 된 $1는, 기품 있는 메이드를 목표로 계속 노력하고 있었다.
$^少しズレているものもあったけど、それなりの成果はあったみたいで、今も(.+?)は頑張っている。$	조금 아닌듯한 것도 있었지만 그만한 성과는 있던 것 같고, 지금도 $1는 노력하고 있다.
$^日課の一つとして気品を身に付けようと努力する(.+?)に、俺は静かに声をかけた。$	업무의 하나로서 기품을 몸에 익히려고 노력하는 $1에게, 나는 조용하게 말을 걸었다.
$^そうして俺に笑顔を向ける(.+?)。その仕草は優雅で、既に十分に気品はあると思う。$	그렇게 나에게 미소를 향하는 $1. 그 행동은 우아해서, 이미 충분하게 기품이 있다고 생각한다.
$^顔を近づけて(.+?)をよく観察する。$	얼굴을 가까이 대고 $1를 자세히 관찰한다.
$^やっぱり……。少し休んだらどう？　……って、(.+?)？　どうしたの、拍子抜けしたような顔をして。$	역시……. 조금 쉬는 게 어때? …… 그, $1? 왜 그래, 김빠진 것 같은 얼굴을 하고.
$^(.+?)はもう十分気品あるメイドだと思うし、今のそのままの君が一番可愛いから。ほら、目を閉じて……。$	$1는 이미 충분히 기품있는 메이드라고 생각하고, 지금 그대로의 네가 제일 사랑스러우니까. 자, 눈을 감아…….
$^そう静かに微笑む(.+?)は、俺の目にはとても美しく気品に満ちた姿に映っていた。$	그렇게 은은하게 미소짓는 $1는, 나의 눈에는 매우 아름답고 기품으로 가득 찬 모습으로 비쳤다.
$^(.+?)、こんな派手なの持ってたのか……$	$1, 이런 화려한 걸 갖고 있었나……
$^つい、(.+?)が実際に履いている所を想像してしまう。$	무심코, $1가 실제로 입고 있는 모습을 상상해 버린다.
$^慌てた様子で、(.+?)はすぐさま俺の手から下着を奪う。$	당황한 모습으로, $1는 바로 나의 손에서 속옷을 빼앗는다.
$^下着を胸に抱えて、顔を真っ赤にする(.+?)。$	속옷을 가슴에 안고, 얼굴을 새빨갛게 하는 $1.
$^そ、その、意外だったよ……。(.+?)がそんな下着を持っているなんて……$	그, 그게 의외였어……. $1가 그런 속옷을 가지고 있다니……
$^怒ってそのまま走り去る(.+?)。$	화내며 그대로 달려가는 $1.
$^この間屋敷で拾った(.+?)の下着のことが頭から離れない。$	얼마 전 저택에서 주운 $1의 속옷이 머릿속에서 떠나지 않는다.
$^(.+?)らしくないけど、セクシーメイドらしい派手な下着。$	$1답지는 않지만, 섹시 메이드다운 화려한 속옷.
$^あの、(.+?)？　この前の下着の事なんだけど……$	저기, $1? 저번의 그 속옷 말인데……
$^え？　(.+?)が謝る事なんてあった？$	에? $1가 사과할 일이라도 있어?
$^ああ、その事か。大丈夫、(.+?)の事を嫌いになったりしないよ。$	아아, 그건가. 괜찮아, $1를 미워하게 되지는 않을게.
$^ちょっとドキッとするような仕草で俺に声をかける(.+?)。$	조금 설레이는 몸짓으로 나에게 말을 거는 $1.
$^あ、ああ。何かな、(.+?)。$	아, 아아. 뭐야, $1.
$^そういえば以前、(.+?)の下着を拾ったときにそんな話もした気がする……。$	그러고 보니 이전, $1의 속옷을 주웠을 때 그런 이야기도 한 것 같다…….
$^うるんだ瞳と上気した頬で(.+?)が俺を見つめる……。$	촉촉한 눈동자와 상기된 뺨으로 $1가 나를 바라본다…….
$^わかった。(.+?)には俺が教えてあげるよ。$	알았어. $1한테는 내가 가르쳐 줄게.
$^ねえ、(.+?)……$	어라, $1……
$^せっせと屋敷の事をこなす(.+?)を見て、なんとなく声をかける。$	부지런히 저택의 일을 하는 $1를 보고, 왠지 모르게 말을 걸었다.
$^よくわからないといった表情を浮かべる(.+?)。$	잘 모르겠다는 표정을 짓는 $1.
$^(.+?)は相変わらずせっせと働いている。$	$1는 변함 없이 부지런히 일하고 있다.
$^今のままで十分幸せだと言っていた(.+?)に、俺は魔法をかけると約束をした。$	지금 그대로 충분히 행복하다고 말한 $1에게, 나는 마법을 걸어주겠다고 약속을 했다.
$^(.+?)、話があるんだけど……$	$1, 할 말이 있는데……
$^俺は手に持っていた手紙のような物を(.+?)に見せる。$	나는 손에 들고 있던 편지같은 것을 $1에 보여준다.
$^目を丸くして驚く(.+?)に、俺は笑って種明かしする。$	눈을 동그랗게 뜨며 놀라는 $1에게, 나는 웃으면서 말한다.
$^もちろん。舞踏会だよ？　綺麗な女性を伴って行くのがマナーだからね。それとも(.+?)は俺とは行きたくないかな？$	물론. 무도회야? 예쁜 여자를 데리고 가는 게 매너니까. 아니면 $1는 나랑 가고 싶지 않은 거야?
$^茶目っ気を出してそう言うと、(.+?)はハッとして驚いたようにこちらを見た後、嬉しそうな笑顔を向ける。$	장난기가 발동해 그렇게 말하니, $1는 깜짝 놀란 듯이 이쪽을 바라본 뒤, 기뻐보이는 미소를 짓는다.
$^頑張って働いていた(.+?)を、俺は約束通り舞踏会に連れて行った。$	열심히 일하고 있던 $1를, 나는 약속대로 무도회에 데려 갔다.
$^その舞踏会の事を思いだしてか、(.+?)がうっとりとした顔をする。$	그 무도회의 일을 떠올린 것인지, $1가 황홀한 표정을 짓는다.
$^そう言って身を寄せてくる(.+?)。$	그렇게 말하며 몸을 기대 오는 $1.
$^小腹がすいてキッチンへとやってくると、(.+?)が鍋を前に首をかしげている。$	배가 고파서 부엌에 왔더니, $1가 냄비를 앞에 두고 고개를 갸우뚱하고 있다.
$^(.+?)が指す鍋を覗き込むと、寸胴の中に大量のスープとその中で煮崩れたじゃがいもが見えた。$	$1가 가리키는 냄비를 들여다 보니, 안에는 대량의 수프와 삶는 동안 뭉개진 감자가 보였다.
$^(.+?)はこれまで主に洋食中心で、あまり和食を作ってくれたことはなかったので、気になって尋ねてみる。$	$1는 지금까지 주로 양식 위주로, 그리 일식을 만들어 준 적이 없었기 때문에 신경이 쓰여 물어 본다.
$^愛想笑いを浮かべる(.+?)。何か言いたくない理由でもあるのかな……？$	억지 미소를 띄우는 $1. 뭔가 말하고 싶지 않은 이유라도 있는 걸까……?
$^いいからいいから。せっかく作ったんだから、味見させてよ。(.+?)の作った物なら失敗作でも構わないから。$	됐어 됐어. 모처럼 만든 거니까, 맛보게 해 줘. $1가 만든 거라면 실패작이라도 상관없으니까.
$^洋食を作ることが多いという(.+?)が和食に挑戦すると言ってから、しばらくの時間が経っていた。$	양식을 만드는 일이 많았던 $1가 일식에 도전하겠다고 하고 나서, 잠시 시간이 흘렀다.
$^俺は(.+?)の作ってくれたご飯を食べ終えて、\1を見た。$	나는 $1가 만들어 준 밥을 다 먹고, $1를 보았다.
$^ごちそうさま、(.+?)。今日も美味しかったよ。$	잘 먹었어, $1. 오늘도 맛있었어.
$^食事を終え、俺は(.+?)の用意してくれたお茶を飲みながら一息つく。$	식사를 끝내고 나는 $1가 준비해 준 차를 마시면서 한숨을 돌린다.
$^そうだったのか。それなら(.+?)が自信が持てたら出してくれたらいいよ。でも\1が作って出してくれる物なら、何でもおいしく食べられるけど。$	그랬구나. 그럼 $1가 자신 있는 걸 만들어 주면 돼. 그리고 $1가 만들어 주는 거라면 뭐든지 맛있게 먹을 수 있는데.
$^初めの方は和食を苦手としていた(.+?)も、段々と腕をあげ、今では和洋中の主だった料理をほとんど作れるようになっていた。$	처음엔 일식으로 골치를 앓던 $1도, 점점 팔을 걷으며 지금은 일본 음식과 일부 서양 요리를 거의 만들 수 있게 되었다.
$^前に苦心していた肉じゃがは、今では(.+?)の得意料理の一つとなっていた。$	전에 고심하고 있던 고기감자조림은, 지금은 $1의 자신있는 요리 중 하나가 되어 있었다.
$^(.+?)の作る食事は何より美味しいよ。いつもありがとう。$	$1가 만드는 식사는 무엇보다 맛있어. 언제나 고마워.
$^もう、(.+?)の料理なしじゃいられなくなってるかも。$	이제, $1의 요리 없이는 살 수 없을지도.
$^そ、そっか……。でも、うん。実際に胃袋を掴まれてる気がするよ。(.+?)に。$	그, 그래……. 그래도, 응. 정말로 입맛을 잡혔다는 생각이 들어. $1에게.
$^お礼を言う(.+?)に、気にしなくていいよ、と返す。$	답례를 하는 $1에게 신경쓰지 않아도 돼, 라고 돌려준다.
$^(.+?)が濡れたタオルを手渡してくれる。それで首筋の汗を拭うと、スッとして気持ち良かった。$	$1가 젖은 수건을 건네 준다. 그걸로 목덜미의 땀을 닦으니 부드럽고 기분 좋았다.
$^俺もだよ(.+?)。たまには庭に出るのもいいよね。$	나도야 $1. 가끔은 정원에 나오는 것도 좋네.
$^でも、(.+?)がガーデニングに興味があるとは知らなかったよ。$	그런데, $1가 원예에 흥미가 있는 줄은 몰랐어.
$^……うん、いいかも知れない。(.+?)に似合うかも。$	…… 응, 좋을지도 모르겠네. $1에게 어울릴지도.
$^うん、きっと(.+?)なら大丈夫だよ。$	응, 분명 $1라면 괜찮아.
$^一緒に庭の手入れをした後、(.+?)の言う事を聞かず、すぐに風呂に入らずに汗をかいたままの服で居たのが悪かったのかもしれない。$	一같이 안뜰의 손질을 하고 나서, $1가 말하는 걸 듣지 않고, 바로 목욕탕에 들어가지 않고 땀을 흘린 채인 옷을 입고 있었던 것이 잘못됐던 걸지도 모른다.
$^責任を感じて涙目になってしまう(.+?)。$	책임을 느끼고 눈물이 고여 버린 $1.
$^(.+?)のせいじゃないから。俺が言う事をちゃんと聞かなかったのが悪いんだって。$	$1 탓이 아니라니까. 내가 말을 잘 안들은 게 나쁜데.
$^それから(.+?)は献身的に看病をしてくれた。$	그리고 $1는 헌신적으로 간병을 해 주었다.
$^あの時はありがとう、(.+?)。$	그 때는 고마웠어, $1.
$^(.+?)の献身的で的確な看護もあって、俺の風邪は長引く事も、そこまで寝込む事も無く完治したのだった。$	$1의 헌신적이고 적절한 간호가 있어서 나의 감기는 오래 끄는 일도, 심하게 드러눕는 일도 없이 완치한 것이었다.
$^頼もしい……というか、(.+?)がしっかりしていたおかげですぐに治ったよ。$	믿음직…… 하다고 할까, $1가 확실하게 해준 덕분에 금방 나았어.
$^涙目で抗議してくる(.+?)。そんなに心配させてしまったのだろうか……。$	눈물 맺힌 눈으로 항의하는 $1. 그렇게 걱정시켜 버린 걸까…….
$^俺は(.+?)をこれからどう育てるか迷っていた。$	나는 $1를 앞으로 어떻게 키울지 고민하고 있다.
$^そうだ、(.+?)自身はどうなりたい？$	맞다, $1 자신은 어떻게 되고 싶어?
$^まだ(.+?)にはこれといった特徴は出ていない。$	아직 $1에게서는 이렇다 할 만한 특징이 나오지 않았다.
$^(.+?)をどういう風に育てたらいいかな……$	$1를 어떤 식으로 키우면 좋으려나……
$^(.+?)！？　ああごめん、そういうつもりじゃなくて。$	$1!? 아아 미안, 그게 아니라.
$^(.+?)はちょっとだけ涙目になる。$	$1는 조금이지만 눈물이 고인다.
$^気にしないで、別にノービスメイドは悪い事じゃないよ。これからどうにだってなれるんだから。ほら、(.+?)はどうなりたい？$	신경쓰지 마, 딱히 노비스 메이드는 나쁜 게 아냐. 지금부터 뭐든지 될 수 있으니까. 자, $1는 어떻게 되고 싶어?
$^(.+?)の声が聞こえたかと思うと、不意に袖を引かれる。$	$1의 목소리가 들렸다고 생각하니, 갑자기 살짝 소매가 끌려진다.
$^な、なに？　(.+?)？$	뭐, 뭐야? $1?
$^俺の袖をちょこんとつまんだまま、(.+?)は聞いてくる。$	나의 소매를 살짝 잡은 채로, $1는 물어 본다.
$^(.+?)はそう言ってパッと袖を放す。$	$1는 그렇게 말하며 갑자기 소매를 놓는다.
$^(.+?)はその、何をしようとしてたの？$	$1는 그, 뭘 하려고 했어?
$^(.+?)が何かの本を集中して読んでいる。$	$1가 어떤 책을 집중해서 읽고 있다.
$^何をみてるのかな、(.+?)。$	뭐 보고 있어, $1.
$^いきなりどうしたの、(.+?)。$	갑자기 무슨 일이야, $1.
$^……うん、(.+?)も一緒になら、楽しいかもしれない。$	…… 응, $1가 함께라면, 즐거울지도 모르겠네.
$^そうだね。それなら、その時は(.+?)をキャディさんにして回ってみるのも面白いかもね。$	그렇네. 그럼, 그때는 $1를 캐디로 해서 돌아보면 재미있을지도 모르겠어.
$^思わせぶりな態度を取るとかもそうだけど、それより(.+?)なら異性に助けてもらえるような隙を見せるのがいいのかもね。$	생각해주는 척하는 태도를 취하는 것도 있지만, 그보다 $1라면 이성에게 도움 받을 수 있는 틈을 보이는 것이 좋을지도.
$^うん、そう。(.+?)の汗の匂い、直接嗅いでみたかったなぁって。$	응, 그래. $1의 땀 냄새, 직접 냄새 맡아 보고 싶구나 해서.
$^けど、恥ずかしそうにしつつもそれを受け入れる(.+?)の可愛い顔も見れたし、当分は黙っておこう。$	하지만, 부끄러운 듯 하면서도 그것을 받아들이는 $1의 사랑스러운 얼굴도 볼 수 있었고, 당분간은 입다물고 있자.
$^キッチンに入ると、(.+?)が小さく何かをつぶやきながら、フライパンを振っている。$	부엌에 들어가니, $1가 작은 소리로 뭔가를 중얼거리면서, 프라이팬을 흔들고 있다.
$^(.+?)、何を作ってるの？$	$1, 뭐 만들고 있어?
$^ねぇ、(.+?)。もし休みが取れたら行きたいところとかある？$	저기, $1. 만약 휴일을 생기면 가고 싶은 곳이라든지 있어?
$^うーん、と頭を捻って考える(.+?)。$	으음, 하고 머리를 갸우뚱하면서 생각하는 $1.
$^自然に囲まれた生活か……。(.+?)がイノセントメイドになれたのって、やっぱりそういう自然が好きっていう事があったからなのかもね……。$	자연에 둘러싸인 생활인가……. $1가 이노센트 메이드가 될 수 있었던 건, 역시 그렇게 자연을 좋아하기 때문일지도…….
$^ちょっと聞いてくれる、(.+?)？　この前に来たお客様が付けていたオパールがすごく綺麗だったんだけど――。$	잠깐 들어 줄래, $1? 저번에 온 손님이 하고 있던 오팔이 엄청 예뻤는데―.
$^俺はこの前に見た、オパールの宝石について(.+?)に話をする。$	나는 저번에 본 오팔 보석에 대해 $1에게 이야기 한다.
$^いつか機会があったら、(.+?)にプレゼントしようか？$	언젠가 기회가 있으면, $1에게 선물 할까?
$^いいから気にしないで。オパールの石言葉も(.+?)にピッタリだし、きっと似合うんじゃないかな。$	괜찮으니까 신경쓰지 마. 오팔의 보석말도 $1에게 딱 맞고, 분명 어울리지 않을까.
$^(.+?)にいたずらっぽい笑みを返しながら、俺はオパールの石言葉を心の中で思い浮かべる。$	$1에게 장난스러운 미소를 돌려주면서, 나는 오팔의 보석말을 마음 속으로 떠올린다.
$^オパールの石言葉は『純真無垢』。これ以上(.+?)に似合う宝石も無いだろう。$	오팔의 보석말은 『순진무구』. 더 이상 $1에게 어울리는 보석은 없을 것이다.
$^ふと見ると、(.+?)が左手を見てため息をついている。$	문득 보니, $1가 왼손을 보며 한숨을 쉬고 있다.
$^どうしたの(.+?)。左手に何かあったの？$	왜 그래 $1. 왼손에 무슨 일 있었어?
$^顔を真っ赤にして言う(.+?)を見て、ようやく俺は気づいた。$	얼굴을 새빨갛게 하고 말하는 $1를 보고, 나는 겨우 눈치챘다.
$^(.+?)に説明するのは難しいなぁ……。$	$1에게 설명하는 건 어려운데…….
$^(.+?)、ちょっと待って。いきなりどうしたの？$	$1, 잠깐만. 갑자기 왜 그래?
$^なんだ、それなら気にしすぎ。(.+?)は十分魅力的だから。$	뭐야, 그럼 너무 신경쓰는 거야. $1는 충분히 매력적이니까.
$^そういう純真な所こそが、チャームポイントなんだよ。だから、(.+?)はそのままで大丈夫。$	그런 순진한 부분이 매력 포인트야. 그니까 $1는 지금 그대로도 괜찮아.
$^まだまだ。我慢して、(.+?)？$	아직. 참아야지, $1?
$^(.+?)は俺の言う通りにその体を強調するポーズを取り、俺の視線に耐えている。$	$1는 내가 말하는 대로 몸매를 강조하는 포즈를 취하고, 나의 시선을 견디고 있다.
$^……。(.+?)、ポーズはもういいよ。だけど――。$	……. $1, 포즈는 이제 됐어. 그리고―.
$^そう答える(.+?)の魅惑的な表情に、俺は吸い寄せられるように唇を重ねるのだった。$	그렇게 대답하는 $1의 매혹적인 표정에, 나는 빨려 들어가듯이 입술을 겹치는 것이었다.
$^俺にエロゲーのプレイを強要された(.+?)が、渋々ゲームをスタートさせる。$	나에게 에로게임의 플레이를 강요받은 $1가, 마지못해 게임을 스타트 시킨다.
$^ちょうど一区切りつき、(.+?)がゲームを終えたところで声をかける。$	마침 일단락되어서 $1가 게임을 끝냈을 때 말을 건다.
$^あ、(.+?)。いきなりだけど、どこか行きたいところはない？$	아, $1. 뜬금없지만, 어디 가고 싶은 곳은 없어? 
$^うん、まあ……。でも、最近の(.+?)を考えたら、逆にそれらしいのかも。$	응, 뭐……. 그래도, 요즘 $1를 생각하면 반대로 그럴 것 같을지도.
$^(.+?)もレディーメイドなわけだし、そういう場所に興味が出るのも自然なのかもしれない。$	$1도 레이디 메이드인 거고, 그런 장소에 관심이 있는 건 자연스러운 걸지도 몰라.
$^落ち着いて、(.+?)。何が上手くいったの？$	진정해, $1. 뭘 제대로 말했어?
$^頑張ったね、(.+?)。さすが俺のメイドだよ。$	열심히 했네, $1. 역시 내 메이드야.
$^うん、ありがとう(.+?)。飲みたくなったらお願いするよ。$	응, 고마워 $1. 마시고 싶으면 부탁할게.
$^(.+?)……。うん、そうだね。そういう\1も見てみたいな。$	$1……. 응, 그렇네. 그런 $1도 보고 싶네.
$^あ、(.+?)。ちょうど良かった。$	아, $1. 마침 잘됐다.
$^ああ、そうそう。ちょっと用事を頼みたいんだけど……ってどうかした、(.+?)？$	아아, 그래 그래. 잠깐 심부름을 부탁하고 싶은데……어, 왜 그래, $1?
$^うん、実はお客様からの意見で気になる事があって――。……(.+?)、本当に大丈夫？　すごい汗だよ？$	응, 실은 손님의 의견으로 신경 쓰이는 게 있어서―. ……$1, 정말 괜찮아? 엄청난 땀인데?
$^……あの、(.+?)。いつも良くしてくれて感謝してるし、少しぐらい休んでも構わないよ？　無理はいけないし……。$	…… 저기, $1. 언제나 잘 해 줘서 감사하고 있고, 조금 쉬어도 괜찮다구? 무리하면 안 되고…….
$^涙目の訴えに、ようやく(.+?)がトイレを我慢していたという事に気づいた。$	눈물 맺힌 호소에, 겨우 $1가 화장실에 가는 걸 참고 있었다는 것을 눈치챘다.
$^(.+?)は内股気味に早足でトイレへと歩いて行った。$	$1는 허벅지를 꼭 붙이며 빠른 걸음으로 화장실에 갔다.
$^あれ(.+?)？　風邪でもひいた？$	어라 $1? 감기라도 걸렸어?
$^……(.+?)、ちょっとこっちに来てくれる？$	……$1, 잠낀 이리 와 볼래?
$^観念して寄って来た(.+?)の額に手を当てると、かなり熱い。$	체념해서 온 $1의 이마에 손을 대니, 꽤나 뜨겁다.
$^(.+?)も一生懸命なのはいいけど、ちょっと生真面目すぎるかな。ちゃんと見ていてあげないと。$	$1는 열심히 하는 건 좋지만, 조금 고지식하려나. 잘 봐주고 있지 않으면.
$^さて、そろそろ出かけよう。(.+?)は準備出来てる？$	자, 슬슬 나가자. $1는 준비 됐어?
$^俺はどっちでもいいよ。少しくらい濡れても構わないし。(.+?)はどうしたい？$	나는 아무래도 좋은데. 조금 쯤은 젖어도 상관없고. $1는 어떻게 하고 싶어?
$^あ、そろそろ時間か……。(.+?)。$	아, 슬슬 시간인가……. $1.
$^(.+?)、\1ってば。$	$1, $1 너.
$^ほら、そろそろ行こう。傘はちゃんと二本持ったし、(.+?)をからかうのは楽しいけど、そろそろ出ないと遅れるからね。$	이봐, 슬슬 가자. 우산은 제대로 두개 갖고 왔어, $1를 놀리는 건 즐겁지만, 슬슬 나가지 않으면 늦으니까 말야.
$^ん？　どうかした、(.+?)？$	응? 왜 그래, $1?
$^(.+?)の声に残念そうな響きを感じる。$	$1의 목소리에 아쉬움이 느껴진다.
$^あれ？　(.+?)としては、その方が起こし易くていいんじゃないの？$	어라? $1로서는, 그 쪽이 깨우기 쉬워서 좋은 거 아냐?
$^一通りの身支度を終え、留守番となる(.+?)に声をかける。$	대충 준비를 하고, 집을 지키게 된 $1에게 말을 건다.
$^無理しちゃダメだよ(.+?)。食事なら外で適当に済ますことも出来るんだし……。$	무리하면 안 돼 $1. 식사라면 밖에서 적당하게 할 수도 있는 거고…….
$^(.+?)……。うん、それじゃ大事に食べさせてもらうよ。本当にありがとう。行ってくるね。$	$1……. 응, 그럼 잘 먹을게. 정말 고마워. 갔다올게.
$^ああ(.+?)、何かな？$	아아 $1, 왜?
$^わかったよ。ごめん(.+?)。……それにしても、\1が怒るのも珍しいよね。なかなか遠慮が無くなって来てるのかな。$	알았어. 미안 $1. …… 그건 그렇고, $1가 화내는 건 드문 일인데. 꽤나 허물이 없어진 거려나.
$^違う違う。責めてるんじゃなくて、嬉しいと思って。それだけ(.+?)は俺に気を許してくれたんだよね？$	아냐 아냐. 꾸짖고 있는 게 아니고, 기쁘다고 생각해서. 그만큼 $1는 나한테 마음을 허락해 준 거지?
$^え、あ……(.+?)！？　な、何を？$	에, 아…… $1!? 무, 무슨?
$^不意の事に驚いたが、(.+?)の一生懸命な様子に気分も高まってくる。$	불의의 일에 놀랐지만, $1의 열심인 모습에 기분이 고양된다.
$^ああ、いいよ……(.+?)。そのまま続けて……。$	아, 좋아…… $1. 그대로 계속해…….
$^(.+?)にしては珍しく積極的だったね……。$	$1치고는 드물게 적극적이었네…….
$^いや、最初はちょっと驚いたけど……気持ちよかったよ。ありがとう、(.+?)。$	아니, 처음은 좀 놀랐는데…… 기분 좋았어. 고마워, $1.
$^(.+?)の声が聞こえたかと思うと、下半身からくちゅくちゅとした音と共に、快感がせりあがってくる。$	$1의 목소리가 들린 것 같다고 생각하자, 하반신으로부터 질척질척한 소리와 함께, 쾌감이 치밀어 온다.
$^え、(.+?)？　そ、その……どうした、の？　くうっ！？$	엑, $1? 그, 그……뭐 하는 거, 야? 크읏!?
$^(.+?)は嬉しそうに俺の吐きだした精液を飲み下した。$	$1는 기쁜듯이 내가 토해낸 정액을 삼켰다.
$^気持ち良かったよ、(.+?)。$	기분 좋았어, $1.
$^うん、もちろん。だって(.+?)があんなにしてくれたから……。って、あ……。$	응, 물론. 왜냐하면 $1가 그렇게 해 주었으니까……. 라고, 아…….
$^さっきまでの(.+?)の姿を思い浮かべてしまい、一度は力を失ったペニスがまた反応してしまう。$	조금 전까지의 $1의 모습을 떠올려 버려, 한 번은 힘을 잃은 페니스가 또 반응해 버린다.
$^いや、そんなつもりじゃなかったんだけど……。でも、そうだな……。もう一度、いいかな。(.+?)？$	아니, 그럴 작정이 아니었지만……. 그렇지만, 그렇네……. 한번 더, 괜찮을까. $1?
$^そうして朝から俺は、(.+?)の奉仕に受け続けるのだった。$	그렇게 해서 아침부터 나는, $1의 봉사를 계속 받는 것이었다.
$^気にしなくていいよ。(.+?)も可愛いから。$	신경 안 써도 돼. $1도 사랑스러우니까.
$^そう？　(.+?)がそう思ってくれるなら、俺も嬉しいよ。$	그래? $1가 그렇게 생각해 준다니 나도 기뻐.
$^……俺もだよ、(.+?)。$	…… 나도야, $1.
$^(.+?)……愛してる、世界中の誰よりも、君のことを。$	$1…… 사랑해, 세상 누구보다도 너를.
$^(.+?)……そんなの、好きに決まってるじゃないか。$	$1…… 그런 거, 좋아하는 게 당연하잖아.
$^そんなことないよ。(.+?)はすっごく可愛い。$	그건 아냐. $1는 엄청 사랑스러워.
$^(.+?)は俺の肩に頭を預けて、幸せそうにうっとりと微笑んでいた。$	$1는 나의 어깨에 머리를 맡기고, 행복한듯이 황홀한 표정으로 미소지었다.
$^ど、どうしたの、(.+?)。いきなり変なこと言って。$	무, 무슨일이야, $1. 갑자기 이상한 일 말해.
$^う、ううん……(.+?)にそう呼ばれると、さすがに違和感があるかも。$	, 으응…… $1에 그렇게 불리면(자), 과연 위화감이 있을지도.
$^そうだなぁ、(.+?)からはもっとこう、上品な感じに呼ばれたい。$	그렇다, $1로부터는 좀 더 이렇게, 품위있는 느낌에 불리고 싶다.
$^ああ、いいっ……いつもと違う感じで、でも(.+?)っぽくて素晴らしいっ。$	아, 좋은 ……평상시와 다른 느낌으로, 그렇지만 $1같고 훌륭하다.
$^ははは、そんなこと気にしなくても、(.+?)に対する俺の気持ちは変わらないよ。$	하하하, 그런 일 신경쓰지 않아도, $1에 대한 나의 기분은 변함없어.
$^でも、そういう意味じゃ旦那様って呼び方は(.+?)によく似合ってると思うけど、あんまり驚きはないかな。$	그렇지만, 그러한 의미는 서방님는 부르는 법은 $1에 잘 어울리고 있다고 생각하지만, 별로 놀라움은 없을까.
$^うぐっ、確かにそれは(.+?)に言われるとドキッとするね……。$	, 확실히 그것은 $1에 말해지면(자) 놀라는군…….
$^お、おおおおおっ、それだ……それだよ！　思いを秘めた感じが(.+?)にぴったりだ！$	, , 그것이다……그것이야!　생각을 숨긴 느낌이 $1에 딱 맞다!
$^どうしたの、(.+?)。もう呼び方を変えるのはやめたの？$	왜, $1. 이제(벌써) 부르는 법을 바꾸는 것은 그만두었어?
$^ああ、ありがとう、(.+?)。いただくよ。$	아, 고마워요, $1. 받아.
$^いいと思うよ、これ。(.+?)、もう一杯もらえる？$	좋다고 생각해, 이것. $1, 한잔 더 받을 수 있어?
$^俺は(.+?)を悲しませるようなことはしない！　頼む、信じてくれ！$	나는 $1를 슬퍼하게 하는 일은 하지 않는다!　부탁하는, 믿어 줘!
$^ごめんな、(.+?)……。$	미안, $1…….
$^来たね、(.+?)。$	왔군요, $1.
$^ホテルもハイヤーも全部予約してある。(.+?)、俺と一緒に京都へ行かないか？$	호텔도 전세 자동차도 전부 예약되어 있다. $1, 나와 함께 쿄토에 가지 않겠는가?
