身長	신　장
膝に貼るための絆創膏。ばい菌を防ぐなら消毒も。	무릎에 붙이기 위한 반창고. 세균을 막으면 소독도.
足袋ストッキング	버선 스타킹
足袋ストッキング・桃	버선 스타킹
足袋ストッキング・緑	버선 스타킹
足袋ストッキング・青	버선 스타킹
足袋ストッキング・黒	버선 스타킹
和を感じる足袋のストッキング。きらめく和力を感じます。	분위기를 느끼는 버선의 스타킹.반짝이는 합력을 느낍니다.
足袋ソックス	버선 삭스
足袋ソックス・紫	버선 삭스
足袋ソックス・緑	버선 삭스
足袋ソックス・薄紫	버선 삭스
足袋ソックス・青	버선 삭스
ゴスロリっぽい足袋のソックス。独特なオシャレ感があります。	고스로리는 버선의 삭스. 독특한 세련감이 있습니다.
踊り子ストッキング	무희 스타킹
踊り子ストッキング・桃	무희 스타킹
踊り子ストッキング・橙	무희 스타킹
踊り子ストッキング・緑	무희 스타킹
踊り子ストッキング・青	무희 스타킹
踊り子のストッキング。豪華な装飾と、透け具合が見事マッチ。脚を煌びやかに魅せます。	무희의 스타킹. 호화로운 장식과 틈이 날 수 있는 상태가 훌륭히 성냥. 다리를 눈부시게 매료 시킵니다.
SLCガーターストッキング	SLC 가터 스타킹
SLCガーターストッキング・桃	SLC 가터 스타킹
SLCガーターストッキング・紫	SLC 가터 스타킹
SLCガーターストッキング・赤	SLC 가터 스타킹
SLCガーターストッキング・青	SLC 가터 스타킹
豪華な印象のガーターストッキング。スケスケでエロティックに魅せます。美しいフリルとレース付き。	호화로운 인상의 가터 스타킹. 잘 비치는에서 에로틱하게 매혹니다.아름다운 프릴과 레이스 첨부.
オープンクロッチストッキング	오픈 크로치 스타킹
オープンクロッチストッキング・桃	오픈 크로치 스타킹
オープンクロッチストッキング・赤	오픈 크로치 스타킹
オープンクロッチストッキング・青	오픈 크로치 스타킹
オープンクロッチストッキング・黄	오픈 크로치 스타킹
かなりオープンなストッキング。これなら不意のムラムラも平気です。	꽤 개방적인 스타킹. 이거면 불의의 두근 두근도 괜찮아요.
オープンクロッチ網タイツ	오픈 크로치 망사 타이즈
オープンクロッチ網タイツ・紫	오픈 크로치 망사 타이즈
オープンクロッチ網タイツ・緑	오픈 크로치 망사 타이즈
オープンクロッチ網タイツ・赤	오픈 크로치 망사 타이즈
オープンクロッチ網タイツ・青	오픈 크로치 망사 타이즈
けっこうオープンな網タイツ。これならそのままでも大丈夫です。	꽤 개방적인 망사. 이것이라면 그대로도 괜찮아요.
オブサナティストッキング	음란 스타킹
オブサナティストッキング・桃	음란 스타킹
オブサナティストッキング・青	음란 스타킹
オブサナティストッキング・黄	음란 스타킹
オブサナティストッキング・黒	음란 스타킹
とっても卑猥なストッキング。切れ込みがエロさを増長させます。	매우 추잡한 스타킹. 벤 자국이 에롬을 조장시킵니다.
LAMUNATION!・アイリスシューズ	LAMUNATION!ㆍ아이리스 슈즈
WHITE POWDERコラボ衣装。LAMUNATION!のアイリスのシューズ。	WHITE POWDER 콜라보 의상.\nLAMUNATION!의 아이리스의 슈즈.
LAMUNATION!・らむねシューズ	LAMUNATION!ㆍ라무네 슈즈
WHITE POWDERコラボ衣装。LAMUNATION!のらむねのシューズ。	WHITE POWDER 콜라보 의상.\nLAMUNATION!의 라무네의 슈즈
Ｐｉａ３・トロピカルサンダル	PiaCarrot3ㆍ트로피컬 샌들
Ｐｉａキャロット美崎海岸通り店（４号店）の制服。トロピカルタイプ。涼しげなサンダル。	Pia캐럿 미사키 해안길점(4호점)교복. 열대형. 시원한 샌들.
Ｐｉａ３・ぱろぱろ靴	PiaCarrot3ㆍ파로파로 구두
Ｐｉａキャロット美崎海岸通り店（４号店）の制服。ぱろぱろタイプ。ちょっぴりフォーマル気分。	Pia캐럿 미사키 해안길점(4호점)교복. 파로 파로 타입. 조금 포멀한 기분.
Ｐｉａ３・フローラルシューズ	PiaCarrot3ㆍ플로럴 슈즈
Ｐｉａキャロット美崎海岸通り店（４号店）の制服。フローラルな足音を運んできます。	Pia캐럿 미사키 해안길점(4호점)교복. 플로럴 발소리를 실어 옵니다.
エキゾチックサンダル	이그조틱 샌들
異国的なダンサーのサンダル。踊る足下を綺麗に飾ります。	이국적인 댄서의 샌들. 춤추는 발 밑을 예쁘게 장식합니다.
エル・スウィートブーツ	에루ㆍ스위트 부츠
エルちゃんのブーツ。	에루쨩의 부츠.
ゴシックブーツ	고딕 부츠
ゴシックなシューズ。カッコイイ&カワイイ。カッコカワイイ。カワイイ！	고딕 신발. 멋있었어& 예쁜. 괄호(그러나) 귀엽다. 이이!
サイ・リリーパンプス	사이ㆍ릴리 펌프스
サイちゃんのパンプス。	사이쨩의 펌프스.
サキュバスパンプス	서큐버스 펌프스
夢魔のパンプス。ちいさな羽がチャームポイント。	악몽의 펌프스. 작은 날개가 매력 포인트.
タユタマ・ましろシューズ	타유타마ㆍ마시로 슈즈
Lump of Sugarコラボ衣装。タユタマの泉戸ましろのシューズ。	Lump of Sugar 콜라보 의상.\n타유타마의 천호 마시로의 슈즈.
タユタマ2・こはくシューズ	타유타마 2ㆍ코하쿠 슈즈
Lump of Sugarコラボ衣装。タユタマ2の泉戸こはくのシューズ。	Lump of Sugar 콜라보 의상.\n타유타마 2의 천호 코하쿠의 슈즈..
ディル・ブラッドパンプス	디르ㆍ블러드 펌프스
ディルちゃんのパンプス。	디르쨩의 펌프스.
まいてつ・ハチロクブーツ	마이테츠ㆍ하치로쿠 부츠
Loseコラボ衣装。まいてつのハチロクのブーツ。凛と立つハチロクの勇姿が浮かびます。	Lose 콜라보 의상.\n마이테츠의 하치로쿠 부츠.\n늠름하게 서있는 하치로쿠의 씩씩한 모습이 떠오릅니다.
まいてつ・れいなブーツ	마이테츠ㆍ레이나 부츠
Loseコラボ衣装。まいてつのれいなのブーツ。なかなかしっかりしています。	Lose 콜라보 의상.\n마이테츠의 레이나 부츠.\n제법 제대로 되어 있습니다.
ミリタリーブーツ	밀리터리 부츠
軍人っぽいブーツ。大変丈夫な作りになっており、しっかり戦場を駆けれます。	군인 같은 부츠.아주 튼튼한 구조로 되어 있게 전장을 뜁니다.
レーシングメイド靴	레이싱 메이드 구두
レースクイーンなメイド靴。結構速く走れます。	레이스 퀸 메이드 구두. 꽤 빨리 달립니다.
ワガハイ・アーシェローファー	와가하이ㆍ애쉬 로퍼
まどそふとコラボ衣装。ワガママハイスペックの桜木・R・アーシェのローファー。	마도스프트 콜라보 의상.\n와가마마 하이스펙의 사쿠라기ㆍRㆍ애쉬의 로퍼.
女教師靴	여교사 구두
女教師っぽい靴。廊下を走る子にはオシオキです。そこ、止まりなさい！	여선생 같은 구두. 복도를 달리는 아이에게는 벌입니다.거기 멈추시오!
普通のメイド靴	평범한 메이드 구두
いたって普通のメイド靴。普通なお靴です。	지극히 보통의 메이드 구두.보통도 구두입니다.
CBLメイドシューズ	CBL 메이드 슈즈
CBLメイドシューズ・桃	CBL 메이드 슈즈
CBLメイドシューズ・白	CBL 메이드 슈즈
CBLメイドシューズ・緑	CBL 메이드 슈즈
CBLメイドシューズ・赤	CBL 메이드 슈즈
サイバーチックなシューズ。未来に向かって進みます。歩数計機能もついてきます。	사이버적인 신발. 미래를 향해서 갑니다. 만보계 기능도 있습니다.
イノセントメイド靴	이노센트 메이드 구두
イノセントメイド靴・白	이노센트 메이드 구두
イノセントメイド靴・紫	이노센트 메이드 구두
イノセントメイド靴・緑	이노센트 메이드 구두
イノセントメイド靴・青	이노센트 메이드 구두
イノセントなメイド靴。通り過ぎた場所が浄化されます。たぶん。	결백한 메이드구두. 통과한 장소가 정화됩니다. 아마.
エレガンスメイド靴	엘레강스 메이드 구두
エレガンスメイド靴・濃茶	엘레강스 메이드 구두
エレガンスメイド靴・白	엘레강스 메이드 구두
エレガンスメイド靴・白茶	엘레강스 메이드 구두
エレガンスメイド靴・茶	엘레강스 메이드 구두
エレガンスなメイド靴。履くと自然と動きも優雅に。そんな気がします。	엘레강스인 메이드구두. 신으면 자연히 움직임도 우아하게. 그런 생각이 듭니다.
エロメイドパンプス	에로 메이드 펌프스
エロメイドパンプス・紫	에로 메이드 펌프스
エロメイドパンプス・緑	에로 메이드 펌프스
エロメイドパンプス・青	에로 메이드 펌프스
エロメイドパンプス・黒	에로 메이드 펌프스
エロいメイドパンプス。足先を美麗に仕立てあげます。	에로 메이드 펌프스. 발끝을 미려하게 만듭니다.
クラシカルメイドブーツ	클래시컬 메이드 부츠
クラシカルメイドブーツ・緑	클래시컬 메이드 부츠
クラシカルメイドブーツ・茶	클래시컬 메이드 부츠
クラシカルメイドブーツ・赤	클래시컬 메이드 부츠
クラシカルメイドブーツ・青	클래시컬 메이드 부츠
クラシカルなメイドブーツ。るんるんとお仕事が捗ります。	클래식한 메이드 부츠.\n신나게 일이 진척됩니다.
ゴスロリメイドブーツ	고스로리 메이드 부츠
ゴスロリメイドブーツ・白	고스로리 메이드 부츠
ゴスロリメイドブーツ・紫	고스로리 메이드 부츠
ゴスロリメイドブーツ・青	고스로리 메이드 부츠
ゴスロリメイドブーツ・黒	고스로리 메이드 부츠
ゴスロリなメイドブーツ。様々な用途で使いやすいブーツです。普段着にもおすすめ。	고스로리인 메이드 부츠. 여러가지 용도로 사용하기 쉬운 부츠입니다. 평상복에도 추천.
セクシーメイド靴	섹시 메이드 구두
セクシーメイド靴・濃茶	섹시 메이드 구두
セクシーメイド靴・白	섹시 메이드 구두
セクシーメイド靴・白茶	섹시 메이드 구두
セクシーメイド靴・茶	섹시 메이드 구두
セクシーなメイド靴。セクシーという名を冠しつつも、メイドらしい上品さを失わない靴。	섹시인 메이드구두. 섹시라고 하는 이름을 씌우면서도, 메이드다운 품위있음을 잃지 않는 구두.
セパレートメイド靴	세퍼릿 메이드 구두
セパレートメイド靴・桃	세퍼릿 메이드 구두
セパレートメイド靴・紫	세퍼릿 메이드 구두
セパレートメイド靴・緑	세퍼릿 메이드 구두
セパレートメイド靴・赤	세퍼릿 메이드 구두
セパレートメイド靴・青	세퍼릿 메이드 구두
セパレートなメイド靴。独特のフリル飾りが印象的です。	세퍼릿 메이드 구두.독특한 프릴 장식이 인상적입니다.
ダンシングメイドシューズ	댄싱 메이드 슈즈
ダンシングメイドシューズ・桃	댄싱 메이드 슈즈
ダンシングメイドシューズ・橙	댄싱 메이드 슈즈
ダンシングメイドシューズ・赤	댄싱 메이드 슈즈
ダンシングメイドシューズ・青	댄싱 메이드 슈즈
ダンシングなメイドシューズ。華麗なダンスが披露できそうです。	댄싱 메이드 슈즈. 화려한 춤이 선 보일 것 같아요. 
チャームメイド靴	챠밍 메이드 구두
チャームメイド靴・桃	챠밍 메이드 구두
チャームメイド靴・白	챠밍 메이드 구두
チャームメイド靴・緑	챠밍 메이드 구두
チャームメイド靴・青	챠밍 메이드 구두
チャームなメイド靴。履きこなすのが少し難しそう。その分履きこなせばスタイリッシュに。少しサンダルのようにも見えます。	매력인 메이드구두. 신어 해내는 것이 조금 어려울 것 같다. 그 만큼 신어 해내면 스타일리쉬에. 조금 샌들과 같이도 보입니다.
ツンゴスメイド靴	츤 고스 메이드 구두
ツンゴスメイド靴・白	츤 고스 메이드 구두
ツンゴスメイド靴・紫	츤 고스 메이드 구두
ツンゴスメイド靴・青	츤 고스 메이드 구두
ツンゴスメイド靴・黒	츤 고스 메이드 구두
ツンゴスなメイド靴。2本のバンドがどこか大人っぽいです。	츤 고스인 메이드구두. 2개의 밴드가 어딘가 어른 스럽습니다.
なでしこメイド下駄	나데시코 메이드 게다
なでしこメイド下駄・桃	나데시코 메이드 게다
なでしこメイド下駄・紫	나데시코 메이드 게다
なでしこメイド下駄・緑	나데시코 메이드 게다
なでしこメイド下駄・黒	나데시코 메이드 게다
和風なメイドの下駄。足先から和風が満ちてきます。	일본풍 메이드 그릇.발끝에서 일식이 찹니다.
プリティメイドブーツ	프리티 메이드 부츠
プリティメイドブーツ・桃	프리티 메이드 부츠
プリティメイドブーツ・茶	프리티 메이드 부츠
プリティメイドブーツ・青	프리티 메이드 부츠
プリティメイドブーツ・黒	프리티 메이드 부츠
プリティなメイドブーツ。素敵なリボンとキラキラジュエル付き。	프리티한 메이드 부츠.\n멋진 리본과 반짝반짝 주얼이 달린.
フリルセクシーメイド靴	프릴 섹시 메이드 구두
フリルセクシーメイド靴・紫	프릴 섹시 메이드 구두
フリルセクシーメイド靴・緑	프릴 섹시 메이드 구두
フリルセクシーメイド靴・赤	프릴 섹시 메이드 구두
フリルセクシーメイド靴・青	프릴 섹시 메이드 구두
フリフリセクシーなメイド靴。サイドの大きなリボンが可愛らしい。フリフリしそうですね！	흔들흔들 섹시한 메이드 구두 사이드의 큰 리본이 아기자기하다. 흔들흔들 할 것 같네!
ラブリーメイド靴	러블리 메이드 구두
ラブリーメイド靴・桃	러블리 메이드 구두
ラブリーメイド靴・濃茶	러블리 메이드 구두
ラブリーメイド靴・白茶	러블리 메이드 구두
ラブリーメイド靴・茶	러블리 메이드 구두
ラブリーなメイド靴。甘口の装飾から溢れるラブリー。歩くたびに奏でるラブリーハーモニー。	러블리인 메이드구두. 단맛의 장식으로부터 흘러넘치는 러블리. 걸을 때마다 연주하는 러블리 하모니.
レディメイド靴	레이디 메이드 구두
レディメイド靴・濃茶	레이디 메이드 구두
レディメイド靴・白	레이디 메이드 구두
レディメイド靴・白茶	레이디 메이드 구두
レディメイド靴・茶	레이디 메이드 구두
レディなメイド靴。落ち着きのあるレディにピッタリ。立派なレディに一歩近づきました。	레이디인 메이드구두. 침착성이 있는 레이디에게 딱. 훌륭한 레이디에게 한 걸음 가까워졌습니다.
ロリゴスメイド靴	로리고스 메이드 구두
ロリゴスメイド靴・白	로리고스 메이드 구두
ロリゴスメイド靴・紫	로리고스 메이드 구두
ロリゴスメイド靴・青	로리고스 메이드 구두
ロリゴスメイド靴・黒	로리고스 메이드 구두
ロリゴスなメイド靴。きらりと光る金具がグッドです。	로리고스인 메이드구두. 반짝 빛나는 쇠장식이 굿입니다.
初代メイド靴	초대 메이드 구두
初代メイド靴・紫	초대 메이드 구두
初代メイド靴・緑	초대 메이드 구두
初代メイド靴・赤	초대 메이드 구두
初代メイド靴・黒	초대 메이드 구두
初代メイド服の靴。カスタムメイド3Dの基本衣裳。メイドさんご用達の靴。	초대 메이드옷의 구두. 커스텀 메이드 3D의 기본 의상. 가정부 용건들의 구두.
旧メイド靴	구메이드 구두
旧メイド靴・紺	구메이드 구두
旧メイド靴・緑	구메이드 구두
旧メイド靴・茶	구메이드 구두
旧メイド靴・赤	구메이드 구두
旧式なメイド靴。機能性を通級した硬派デザイン。	구식의 메이드구두. 기능성을 통급한 강경파 디자인.
純真メイドブーツ	순진 메이드 부츠
純真メイドブーツ・白	순진 메이드 부츠
純真メイドブーツ・緑	순진 메이드 부츠
純真メイドブーツ・茶	순진 메이드 부츠
純真メイドブーツ・青	순진 메이드 부츠
純真なメイドブーツ。編み上げの厚底ブーツです。	순수한 메이드 부츠.\n끈으로 매어 올리 통굽 부츠 입니다.
ガーリースニーカー	걸리 스니커즈
ガーリースニーカー・桃	걸리 스니커즈
ガーリースニーカー・赤	걸리 스니커즈
ガーリースニーカー・黄	걸리 스니커즈
ガーリースニーカー・黒	걸리 스니커즈
アクティブに動けそうなスニーカー。活動的なガールにぴったりです。	액티브하게 움직일 것 같은 운동화. 활동적인 걸에 딱 맞습니다.
カジュアル革靴	캐주얼 구두
カジュアル革靴・焦茶	캐주얼 구두
カジュアル革靴・白	캐주얼 구두
カジュアル革靴・紺	캐주얼 구두
カジュアル革靴・黒	캐주얼 구두
ちょっぴりオシャレな革靴。学生向けなシンプルカジュアル。	조금 화려한 가죽 구두.학생을 위한 단순 캐주얼.
カレッジミュール	칼리지 뮬
カレッジミュール・桃	칼리지 뮬
カレッジミュール・白	칼리지 뮬
カレッジミュール・紫	칼리지 뮬
カレッジミュール・黒	칼리지 뮬
カレッジなガールのミュール。ワンポイントのリボンが可愛いです。	칼리진 걸의 뮬. 원 포인트의 리본이 귀엽습니다.
クールシューズ	쿨 슈즈
クールシューズ・灰	쿨 슈즈
クールシューズ・白	쿨 슈즈
クールシューズ・青	쿨 슈즈
クールシューズ・黒	쿨 슈즈
シンプルでクールなシューズ。ちょっぴり大人カジュアル。	심플하고 쿨한 신발. 조금 어른 캐주얼.
サイハイブーツ	싸이·하이 부츠
サイハイブーツ・灰	싸이·하이 부츠
サイハイブーツ・白	싸이·하이 부츠
サイハイブーツ・紺	싸이·하이 부츠
サイハイブーツ・黒	싸이·하이 부츠
太ももくらいまであるブーツ。履くとなんだかオトナっぽく見えます。	허벅지 정도까지 있는 부츠.신으면 왠지 오토나처럼 보입니다.
シェイプアップシューズ	셰이프업 슈즈
シェイプアップシューズ・橙	셰이프업 슈즈
シェイプアップシューズ・水	셰이프업 슈즈
シェイプアップシューズ・緑	셰이프업 슈즈
シェイプアップシューズ・赤	셰이프업 슈즈
シェイプアップにぴったりなシューズ。動き回る足をガッチリアシスト。	셰이프 업에 맞는 신발. 움직이는 발을 갓치리 어시스트.
シンプルサンダル	심플 샌들
シンプルサンダル・桃	심플 샌들
シンプルサンダル・緑	심플 샌들
シンプルサンダル・青	심플 샌들
シンプルサンダル・黒	심플 샌들
シンプルなサンダル。駆けるとパタパタと音を鳴らしそう。涼を感じたい時にピッタリです。	심플한 샌들. 뛰면 빠타빠타 소리를 울릴 것 같아. 더위를 느끼고 싶을 때 딱입니다.
スウィーティッシュサンダル	스위트 티슈 샌들
スウィーティッシュサンダル・緑	스위트 티슈 샌들
スウィーティッシュサンダル・青	스위트 티슈 샌들
スウィーティッシュサンダル・黄	스위트 티슈 샌들
スウィーティッシュサンダル・黒	스위트 티슈 샌들
軽やかで華やかなサンダル。時計とリボンの鮮やかコラボ。	가볍고 화려한 샌들. 시계와 리본의 생생한 코라보.
スエードブーティー	스웨이드 부티
スエードブーティー・緑	스웨이드 부티
スエードブーティー・赤	스웨이드 부티
スエードブーティー・青	스웨이드 부티
スエードブーティー・黒	스웨이드 부티
ファッショナブルなブーティー。スタイリッシュかわいいです。	패셔너블한 부티. 스타일리쉬 귀엽습니다.
スプリングサンダル	스프링 샌들
スプリングサンダル・白	스프링 샌들
スプリングサンダル・緑	스프링 샌들
スプリングサンダル・茶	스프링 샌들
スプリングサンダル・黒	스프링 샌들
春を感じるサンダル。涼しげでキュートな気分。	봄이 느껴지는 샌들.\n시원하고 깜찍한 기분.
ダブルボタンブーティ	더블 버튼 부티
ダブルボタンブーティ・灰	더블 버튼 부티
ダブルボタンブーティ・赤	더블 버튼 부티
ダブルボタンブーティ・青	더블 버튼 부티
ダブルボタンブーティ・黒	더블 버튼 부티
二つのボタンがついたブーティ。寒い季節のガーリーなトレンドです。	두개의 버튼이 달린 부티.추운 계절의 가린 트랜드입니다.
ダンシングチアスニーカー	댄싱 치어 스니커즈
ダンシングチアスニーカー・紫	댄싱 치어 스니커즈
ダンシングチアスニーカー・赤	댄싱 치어 스니커즈
ダンシングチアスニーカー・黄	댄싱 치어 스니커즈
ダンシングチアスニーカー・黒	댄싱 치어 스니커즈
踊るチアリーダーなスニーカー。華麗なステップでレッツダンシング！	춤추는 치어 리더인 운동화. 화려한 스텝에서 레츠 댄싱!
チアスニーカー	치어 스니커즈
チアスニーカー・橙	치어 스니커즈
チアスニーカー・水	치어 스니커즈
チアスニーカー・紅	치어 스니커즈
チアスニーカー・青	치어 스니커즈
チアガールのスニーカー。体を動かすのに丁度良いです。	치어걸의 스니커즈. 몸을 움직이는데 꼭 좋습니다.
ツートンパンプス	투톤 펌프스
ツートンパンプス・赤	투톤 펌프스
ツートンパンプス・青	투톤 펌프스
ツートンパンプス・黄	투톤 펌프스
ツートンパンプス・黒	투톤 펌프스
ツートンカラーのパンプス。シンプルな大人っぽいオシャレです。	투톤 컬러의 펌프스. 심플한 어른스러운 스타일입니다.
ノーブルシューズ	노블 슈즈
ノーブルシューズ・橙	노블 슈즈
ノーブルシューズ・緑	노블 슈즈
ノーブルシューズ・青	노블 슈즈
ノーブルシューズ・黒	노블 슈즈
高貴で上品なシューズ。風格を感じさせます。	고귀하고 고상한 신발. 풍격을 느끼게 합니다.
ビットローファー	비트 로퍼
ビットローファー・濃茶	비트 로퍼
ビットローファー・白茶	비트 로퍼
ビットローファー・茶	비트 로퍼
ビットローファー・青	비트 로퍼
金具がステキなビットローファー。制服を着て歩けば学生気分です。いろいろな正装にも合います。	쇠장식이 멋진 비트 간편화. 제복을 입고 걸으면 학생 기분입니다. 여러가지 정장에도 맞읍니다.
学生着物ブーツ	학생복 부츠
学生着物ブーツ・深緑	학생복 부츠
学生着物ブーツ・紫	학생복 부츠
学生着物ブーツ・緑	학생복 부츠
学生着物ブーツ・赤茶	학생복 부츠
大正風な女学生用のブーツ。レトロな足音を響かせます。	타이쇼적인 여학생용 부츠.복고풍의 발소리를 울립니다.
浴衣用下駄	유카타용 게다
浴衣用下駄・桃	유카타용 게다
浴衣用下駄・紫	유카타용 게다
浴衣用下駄・赤	유카타용 게다
浴衣用下駄・黒	유카타용 게다
浴衣用の下駄。カランコロンカランコロン。それは恋の足音。	유카타용 나막신. 카랑코롱 카랑코롱. 그것은 사랑의 발소리.
ピュアリボンシューズ	퓨어 리본 슈즈
ピュアリボンシューズ・緑	퓨어 리본 슈즈
ピュアリボンシューズ・赤	퓨어 리본 슈즈
ピュアリボンシューズ・青	퓨어 리본 슈즈
ピュアリボンシューズ・黒	퓨어 리본 슈즈
リボン付きのピュアなシューズ。ピュアにほんのりラブリー感をプラス。	리본이 순수한 신발. 순수하게 어렴풋이 러블리감을 플러스.
フォーマルシューズ	포멀 슈즈
フォーマルシューズ・白	포멀 슈즈
フォーマルシューズ・紫	포멀 슈즈
フォーマルシューズ・茶	포멀 슈즈
フォーマルシューズ・赤	포멀 슈즈
フォーマルなシューズ。これ一足で、冠婚葬祭お任せです。	정장 신발. 이 한켤레로 관혼장제 맡깁니다.
ベルトパンクブーツ	벨트 펑크 부츠
ベルトパンクブーツ・白	벨트 펑크 부츠
ベルトパンクブーツ・紫	벨트 펑크 부츠
ベルトパンクブーツ・緑	벨트 펑크 부츠
ベルトパンクブーツ・赤	벨트 펑크 부츠
ベルトでキメたパンクなブーツ。イカしてます。	벨트로 정해진 펑크한 부츠.\n근사합니다.
ホットブーツ	따뜻한 부츠
ホットブーツ・赤	따뜻한 부츠
ホットブーツ・青	따뜻한 부츠
ホットブーツ・黄	따뜻한 부츠
ホットブーツ・黒	따뜻한 부츠
暖かいブーツ。暖かくてほっとします。	따뜻한 부츠. 따뜻하고 안심합니다.
ポンポン付きロングブーツ	퐁퐁달린 롱 부츠
ポンポン付きロングブーツ・灰	퐁퐁달린 롱 부츠
ポンポン付きロングブーツ・茶	퐁퐁달린 롱 부츠
ポンポン付きロングブーツ・赤	퐁퐁달린 롱 부츠
ポンポン付きロングブーツ・黒	퐁퐁달린 롱 부츠
膝下そこそこのロングブーツ。かわいいポンポン付き。	슬하 안팎의 롱 부츠. 귀엽퐁퐁 첨부.
もこもこスリッパ	복슬복슬 슬리퍼
もこもこスリッパ・緑	복슬복슬 슬리퍼
もこもこスリッパ・薄茶	복슬복슬 슬리퍼
もこもこスリッパ・青	복슬복슬 슬리퍼
もこもこスリッパ・黒	복슬복슬 슬리퍼
ほかもこのパジャマスリッパ。ベッドの上では脱ぎましょう。	그 외에도 이 파자마 슬리퍼. 침대 위에서는네요.
もこもこ付きブーツ	기모 부츠
もこもこ付きブーツ・灰	기모 부츠
もこもこ付きブーツ・白	기모 부츠
もこもこ付きブーツ・赤	기모 부츠
もこもこ付きブーツ・黒	기모 부츠
もこもこの付いたブーツ。もこもこしてて、とても暖かい。これなら雪道でもへっちゃらです。	토모코도 이 달린 부츠. 복슬복슬하서 매우 따뜻합니다 이것이라면 눈길에서도 헤쯔치야라입니다.
リボン付きパンプス	리본달린 펌프스
リボン付きパンプス・白	리본달린 펌프스
リボン付きパンプス・赤	리본달린 펌프스
リボン付きパンプス・黄	리본달린 펌프스
リボン付きパンプス・黒	리본달린 펌프스
リボンの飾りがカワイイパンプス。素足での着用もオススメ。	리본 장식이 사랑스런 펌프스.\n맨발로 착용하는 것도 추천합니다.
リボン付きローファー	리본달린 로퍼
リボン付きローファー・山吹	리본달린 로퍼
リボン付きローファー・海松	리본달린 로퍼
リボン付きローファー・白	리본달린 로퍼
リボン付きローファー・紺	리본달린 로퍼
リボン付きローファー・葡萄茶	리본달린 로퍼
リボン付きローファー・薄紫	리본달린 로퍼
お上品なリボン付きローファー。上品かつ甘口な仕上がりです。	점잖은 리본 달린 로퍼. 상품이고 단맛 완성입니다.
ローヒールパンプス	로우 힐 펌프스
ローヒールパンプス・水	로우 힐 펌프스
ローヒールパンプス・紫	로우 힐 펌프스
ローヒールパンプス・薄黄	로우 힐 펌프스
ローヒールパンプス・黒	로우 힐 펌프스
歩きやすそうなローヒールパンプス。ちょっぴりだけ背伸びしちゃいます。	걷기 쉬운 낮은 펌프스. 좀만 발돋움하니까요.
ローファー	로퍼
ローファー・濃茶	로퍼
ローファー・白	로퍼
ローファー・白茶	로퍼
ローファー・黒	로퍼
シンプルな普通のローファー。カジュアルもオシャレもフォーマルも。これ一足で大体なんとかなります。	B심플한 보통 간편화. 캐주얼도 멋을냄도 포멀도. 이것 한 걸음으로 대개 어떻게든 됩니다.
シンプルな普通のローファ。カジュアルもオシャレもフォーマルも。これ一足で大体なんとかなります。	A심플한 보통 로퍼. 캐주얼도 멋도 포멀도. 이것 한발에서 대부분 어떻게 됩니다.
編み上げニーハイブーツ	엮은 니하이 부츠
編み上げニーハイブーツ・灰	엮은 니하이 부츠
編み上げニーハイブーツ・紫	엮은 니하이 부츠
編み上げニーハイブーツ・茶	엮은 니하이 부츠
編み上げニーハイブーツ・黒	엮은 니하이 부츠
膝上までを覆うニーハイブーツ。脚を恰好良くセクシーに引き立てます。ちょっと蒸れそうです。	무릎 위까지 뒤덮은 니하이 부츠. 다리를 멋진 섹시하게 북돋습니다. 좀 찌는 것 같습니다.
花柄鼻緒の下駄	꽃무늬 끈 게다
花柄鼻緒の下駄・紫	꽃무늬 끈 게다
花柄鼻緒の下駄・緑	꽃무늬 끈 게다
花柄鼻緒の下駄・黄	꽃무늬 끈 게다
花柄鼻緒の下駄・黒	꽃무늬 끈 게다
花緒が花柄模様の下駄。涼しげで、華やかな足元になります。	끈이 꽃무늬 모양인 나막신.\n시원하고, 발밑이 화사해 집니다.
CAハイヒール	CA 하이힐
CAハイヒール・橙	CA 하이힐
CAハイヒール・紫	CA 하이힐
CAハイヒール・紺	CA 하이힐
CAハイヒール・赤	CA 하이힐
キャビンアテンダントのハイヒール。少し背を高くする努力というものです。	스튜어디스의 하이힐. 조금 키 크기 노력이라는 것입니다.
アニマルのレッグス	애니멀 레그
アニマルのレッグス・白	애니멀 레그
アニマルのレッグス・紫	애니멀 레그
アニマルのレッグス・赤	애니멀 레그
アニマルのレッグス・黒	애니멀 레그
アニマルのレッグス。脚に宿るアニマル脚力。	애니멀의 레그.\n다리에 깃드는 동물의 각력.
ウェイトレスシューズ	웨이트리스 슈즈
ウェイトレスシューズ・紫	웨이트리스 슈즈
ウェイトレスシューズ・緑	웨이트리스 슈즈
ウェイトレスシューズ・青	웨이트리스 슈즈
ウェイトレスシューズ・黒	웨이트리스 슈즈
キュートなウェイトレスシューズ。ふたつのリボンが特徴的。足の先までキュートでいましょう。	귀여운 웨이트리스 슈즈. 두 리본이 특징적. 다리의 끝까지 매력적이어 있읍시다.
くのいち足袋	쿠노이치 버선
くのいち足袋・灰	쿠노이치 버선
くのいち足袋・紫	쿠노이치 버선
くのいち足袋・黄	쿠노이치 버선
くのいち足袋・黒	쿠노이치 버선
