主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
なるほど、それではそのように致しましょう。	과연 그럼 그렇게 합시다.
あぁ、待って。嘘だから、冗談だからっ！	아, 기다리고. 거짓말이기 때문에, 농담이니까!
やぁ、椎名さん。随分とボロボロの本だけど何を読んでるの？	네, 시이나씨. 꽤나 너덜너덜한 책인데, 무엇을 읽니?
これは恥ずかしいところを見られてしまいましたね。買ったときは綺麗な本だったのですが、読み返しているうちにどんどん痛んできてしまいまして……	부끄러운 모습을 보이네요 샀을 때는 예쁜 책 하다가 다시 읽다 보니 점점 아파서요...
へぇ、随分とお気に入りなんだね。	아, 무척 마음에 들지 않아요.
はい、それで内容でしたね。これは作法、礼節に関する本になります。	네, 그래서 내용이었죠. 이는 예절 예절에 관한 책이 됩니다.
作法ってマナーとか、お辞儀の仕方とか書いてあるやつ？	범절은 매너나 절의 방법이나 쓰고 있는 놈?
ええ、この本は内容が凄く丁寧に書かれてまして、暇さえあれば読み返すようにしてます。	네, 이 책은 내용이 굉장히 정중하게 말씀하셔서 틈만 나면 다시 읽도록 하고 있습니다.
椎名さんほどの人が読み返すなんて、そんなに凄い本なの？	시이나씨 정도의 사람이 다시 읽다니, 그렇게 대단한 책이니?
いえ、内容自体は普通のことしか書いてないのですが……初心を忘れないためにもなるべく読むようにしているんです。	아니, 내용 자체는 평범한 말밖에 쓰지 않았습니다만……초심을 잊지 않기 위해서도 가급적 읽도록 하고 있습니다.
そうなんだ。やっぱりプロほど基本を大事にするって本当なんだね。	그렇구나. 역시 프로 정도 기본을 소중하게 한다는 사실이네.
プロだなんてそんな……私はただお仕えする方に恥をかかせないように一生懸命なだけですよ。	프로이라니.....저는 그냥 모시는 것에 망신을 주지 않도록 열심힌 거예요.
（謙遜してるけど……やっぱり椎名さんは凄い人なんだなぁ）	(겸손하는데…역시 시이나씨는 대단한 사람이야.)
椎名さんっていつ見てもすごくキレイに化粧するよね。	시이나씨는 언제 보아도 매우 이쁘게 화장하잖아.
そうでしょうか、特に意図しているわけではないのですが……	그렇습니까, 특히 의도하지는 않지만...
うちのメイド達の中には、俺が見てると手が震えてアイラインをキレイに引けない子とか、緊張しちゃってついつい厚塗りになっちゃう子とかいるからさ。	우리 메이드들 중에는 내가 보고 있으면 손이 떨리고 아이 라인을 깨끗하게 물러나지 않는 아이나 긴장해서 무심결에 두껍게 바르가 될 아이가 있으니까.
ふふっ、それが分かってて他のメイドの化粧している所を見るなんて、貴方様も案外ひどいことをなさるんですね。	후훗, 그것이 알아서 다른 메이드의 화장하는 곳을 보다니, 님도 의외로 심한 일을 하시나요.
最近は悪いかなと思ってなるべく見ないようにしてるよ。	요즘은 나쁜 것 같아서 가급적 보지 않도록 하고 있어.
はい、それがよろしいかと思います。しかし、そうですね、たまには趣向を変えていつもと違う感じにお化粧してみるのも悪くないかもしれませんね。	네, 그것이 좋다고 생각합니다. 하지만 글쎄요, 가끔은 취향을 바꾸고 평소와 다른 느낌에 화장하고 보는 것도 나쁘지 않을지도 모르겠네요.
そうだね、チークを変えるだけでもかなり印象が変わると思うよ。	그래, 티크만 바꿔도 꽤 인상이 달라지실걸요.
貴方様はなにか希望のメイクなどございますか？	님은 뭔가 희망의 화장이 있습니까?
うーん、メイクとはちょっと違うんだけど……俺は舞妓さんみたいに白塗りにしているメイドも見てみたいかな？	음, 메이크업과 좀 달라는데……나는 마이코 씨처럼 흰색으로 하는 메이드도 보고 싶을까?
なるほど、メイド服を着物に変えて全員でやれば、それも面白いかもしれませんね。では今日はそう致しましょう。	과연, 메이드 옷을 옷으로 바꾸어 전원으로 하면, 그것도 재미 있을지도 모르겠네요. 그럼 오늘은 그렇게 합시다.
あぁ、いやっ、冗談だからっ！！	아, 싫엇, 농담이니까!
ふぅ。流石にこの時ばかりは自分がメイドであることを忘れてエステを堪能してしまいそうです。	음. 과연 이 때만은 자신이 하녀임을 잊고 피부를 만끽할 것 같습니다.
メイドさんにもたまにはご褒美がないとね。	메이 씨도 가끔은 포상이 없다고요.
ところで気になったんだけど、椎名さんの所属しているエンパイアクラブのエステってどんな感じなの？	그런데 궁금한 거지만 시이나씨의 소속된 엠파이어 클럽의 에스테가 어떤 느낌?
私の所属しているエンパイアクラブですか……一応、ここと同じように専属のエステティシャンがいるのですが、基本的にはご主人様が施術されますね。	제 소속된 엠파이어 클럽인가요……일단 여기와 마찬가지로 전속 에스테티션이 있는데 기본적으로는 주인이 시술되네요.
へぇ、それはいいね。	아, 그건 좋네요.
（合法的に女の子にマッサージできるのか……その発想はなかったな）	(합법적으로 여자에게 마사지할 수 있는가……그 발상은 아닌)
うちでも同じことやってみようかな？	가운데 같은 일 하고 볼까?
はい、私のご主人様もメイドのその時その時の様子を直に確認するのに非常に有効な手段だと仰ってました。ただ――	네, 저의 주인도 메이드의 그때 그때의 모습을 직접 확인하는 데 매우 효과적인 수단이라고 말씀하셨어요. 그냥 ― ―
ただ？　ひょっとしてなにか問題でもあるの？	다만?혹시 뭐 문제라도 있어?
その私のご主人様はエステ用のオイルとローションをよく間違えて持ってこられるのです。	그 제 주인님은 미용용 오일과 로션을 자주 잘못 가져올 수 있는 것입니다.
おっ、それは……	어이구, 그건……
（ひょっとして、そのままエロいことするのかな……）	(혹시 그대로 에로게 할까...)
私はご主人様が間違ってこられるたびに指摘しているのですが、中々治らないんです。なにかいい方法はないでしょうか？	나는 남편 분께서 잘못 올 때마다 지적하고 있지만, 좀처럼 낫질 않아요. 무슨 좋은 방법이 없을까요?
（えっ、いや、それエッチなことしたいだけなんじゃ……）	(어, 아니 그 야한 짓을 하고 싶을 뿐이지...)
ごめん、特に思い浮かばないかな？	미안, 특히 생각나지 않을까?
そうですか……それでは、今後も私の方で注意を促していくしかありませんね。	그렇습니까……그럼 앞으로도 내 쪽에서 주의를 촉구할 수밖에 없네요.
（あぁ、なんだか向こうのオーナーさんがかわいそうになってきた）	(아, 어쩐지 저쪽의 오너 씨가 불쌍하게 되었다)
椎名さんが掃除した場所って凄くピカピカになるよね。	시이나씨가 청소한 장소는 아주 광이 될 거야.
そう言っていただけると私も掃除した甲斐があります。	그렇게 말하고 주시면 저도 청소한 보람이 있습니다.
でも、ここまでキレイになってしまうと歩くのが勿体ないよね。	하지만, 여기까지 깨끗하게 되어 버리면 걷는 게 아쉽지 않겠지.
ふふっ、汚れたらまた掃除致しますので遠慮なく振る舞われてください。	후훗, 더러워지면 다시 청소하겠으니 기탄없이 굴어서 주세요.
そう言われると俺も汚すことに対する罪悪感が少しなくなるよ。	그렇게 말하니 나도 더럽히는 일에 대한 죄책감이 조금 없어지어.
罪悪感だなんて、そんな……ひょっとして清掃する際は少し手を抜いたほうがよろしいでしょうか？	죄책감이라니, 그런.....혹시 청소할 때는 조금 손을 뺀 것이 좋을까요?
いいや、そんなことする必要はないよ。そんなことでかえって気を使わせても悪いしね。	아니, 그런 짓을 할 필요는 없어. 그런 일로 오히려 신경을 쓰지도 나쁘지.
そうですか、それでは今まで通りやらせていただきますね。	그렇습니까, 그럼 지금까지 대로 하겠습니다요.
うん、よろしく。	응, 잘.
では、この部屋の清掃は終わりましたので私は次の部屋に行きますね。	그럼 이 방의 청소는 끝났으니 난 다음 방에 갈께.
ありがとう、頼んだよ。	고마워, 부탁할게.
（んっ……あれ？）	(읏 ……어라?)
辺りを見回してみると俺の足元以外はピカピカに掃除されていた。	주위를 둘러보면 나의 발목 이외에는 아주 깨끗했다.
こんなピカピカじゃ歩けないよ、椎名さん……。	이렇게 반짝반짝하면 걸어다닐 수가 없어요, 시이나씨…….
ねぇねぇ、椎名さん。椎名さんのご主人様の部屋ってどんな感じなの？	저기저기, 시이나씨. 시이나씨의 주인님의 방이 어떤 느낌?
私のご主人様の部屋ですか……そうですね、強いて言うならアダルトグッズ専門店、みたいな感じでしょうか？	제 남편님의 방인가요……글쎄요, 굳이 말한다면 성인용품 전문점 같은 기분인가요?
（やばい、意味がわからない）	(어머나, 뜻을 모르겠다)
えっと、つまりどういう感じなのかな？	음, 즉 어떤 느낌일까?
最新式のオナホールや、アナルビーズ、クスコ、バイブ、こけしに至るまで様々なアダルトグッズが部屋中を所狭しとせめぎ合ってる感じのお部屋ですかね。	최신식 오나호ー루, 아날 구슬 쿠스코 바이브, 목각 인형에 이르기까지 다양한 성인용품이 방안을 빽빽하게 갈등한다는 느낌의 방입니다..
なるほど、そういうことか。	과연, 그런 일인가.
ご主人様が自室にメイドを連れ込んだ日の翌日は清掃がホントに大変で、元の場所に収納するだけで半日は費やしてしまう程です。	주인이 자기 방에 메이드를 데리고 가다 다음날에 청소가 정말 힘들고 제자리에 수납하면 한나절은 보내는 정도입니다.
そんなにか、それはすごいな……。	그렇게거나 그나마 다행이었어...
でも、そんなにグッズを使いこなしているとなると夜伽のお相手をするメイドさんも大変だろうね。	하지만 그렇게 물건을 사용하고 있다고 되면 잠자리 시중의 상대를하는 메이드 씨도 힘들겠지.
はい、最初のうちは皆足腰が立たなくなるんですよ。	네, 처음엔 모두 하반신을 못 쓰게 되는군요.
椎名さんもそうだったの？	시이나씨도 그랬니?
ふふっ、私はどうでしょうね？	후훗, 나는 어떨까요?
予定に組み込んでみたものの、椎名さんの接客が完璧すぎて俺から伝えられることはなにもなさそうだよ。	예정에 넣어 본 것의 시이나씨의 접객이 너무 완벽해서 내가 알려지는 것은 아무것도 없다더라.
恐縮です。	죄송합니다.
ただもうちょっと遊びがあってもいいかなって思うよ。	다만 좀 더 놀이가 있어도 할까 같아.
遊び……ですか？	놀이……입니까?
うん、ちょっと完璧すぎるからあえて、失敗してみせることで可愛さをだす、みたいな感じかな。	응, 좀 너무 완벽해서 감히 실패할 것으로 귀여움을 내고 같은 느낌이려나.
なるほど。確かにそれは一理あるのですが、私がやって可愛げがでるのでしょうか？	과연. 확실히 그것은 일리가 있는데 내가 하고 귀염성이 나오나요?
あー……うん、椎名さんそのままのほうがいいかな。	아-……응, 시이나씨 그대로가 좋을까.
ちょっとドジな椎名さんも見てみたい気もするけど、わざとらしくなっても意味ないしね。	좀 얼빠진 시이나씨도 보고 싶은 생각도 하지만 부자연스럽게 되어도 뜻이 없네.
それじゃ、残りの時間どうしようか……	그럼 나머지 시간 어쩌나...
そうですね、私がお客様の役を演じるというのはいかがでしょう？	글쎄요, 제가 고객의 역을 맡았다는 것은 어떻습니까?
それは俺が接客練習をするってことかな？	그것은 내가 접객 연습을 한다는 것인가?
はい、貴方様もオーナーとしてお客様の前に立たれることがあると思いますので。	네, 님도 주인으로서 손님 앞에 설 적이 있다고 생각합니다.
なるほどね。それはいい考えだ。	과연. 그것은 좋은 생각이다.
それじゃ、よろしくしようかな。	그럼 잘 할까.
ええ、お任せください。	네, 맡기세요.
縫い目のひとつひとつまで、妥協せず美しく仕上げて見せます……	솔기 하나 하나까지 타협하지 않고 아름다운 한번 만들어 봅니다……
こうして手仕事をするのは、気持ちが良いですね。	이렇게 손은 기분이 좋군요.
誰かがこれを使うという事を考えると、やはりしっかりした物にしなければ……	누군가 이를 쓴다는 일을 생각하면, 역시 탄탄한 것으로 만들지 않으면...
一日にある三度の食事……それら全てにおいて、手を抜くつもりはありません。	하루에 있는 끼니....그것들 모두 손을 뺄 생각은 없습니다.
きちんとした食生活が、健全な肉体を育みますからね。バランス良く栄養のとれる献立で作りますよ。	제대로 된 식생활이 건전한 육체를 기르니까요. 균형 있게 영양 잡힌 식단에 내야죠.
しかし読書というものは良いですね……一文字一文字が、頭に沁み込んでくるかのようです……	그러나 독서인 것은 좋습니다……한 글자 한 글자가 머리에 스며들어고 올 것 같지요...
ふふ……花材の取り合わせを考えるのは大変ですけど、とても楽しいですね。	흐흐……꽃꽃이 재료의 배합을 생각하는 것은 힘들지만 너무 즐겁습니다.
こうして華道に触れていると、自分の心が磨かれていくのがわかります……	이렇게 꽃꽂이에 언급하고 있다고 자신의 마음이 닦이는 것으로 나타납니다……
メイドの身でありながら、こういったケアを受けるのは恐縮ですが……きちんと、お仕事で返しますから、ふふ……	메이드의 몸이면서도 이러한 관리를 받는 것은 죄송합니다만……제대로, 일에서 갚을 테니까, 후후...
んぅ……心地良いものですね、エステというものは……ついつい、眠ってしまいたくなりますね……	으응……기분 좋고 물건이네요, 에스테란……결국, 잠들어 버리고 싶네요...
こうして身体をほぐす事で、またお仕事する為の英気が養えるというものです……	이렇게 몸을 풀것이고 또 일하기 위한 영기가 부양할 수 있다라는 것입니다...
どうしたって埃や汚れは溜まっていくものですからね。日々のお掃除は大切です。	어쨌다고 먼지나 더러움은 쌓일 것이니까요. 매일 청소는 중요합니다.
地味に見えるお仕事ですが、だからといって手を抜いていいものではありません。しっかりとお掃除しますよ……	수수하게 보이는 일이지만 그렇다고 손을 제치고 좋은 것은 아닙니다. 제대로 잘 청소할께요...
さて、どのように模様替えしましょうか……。なかなか大変そうですが、ふふ、それだけにやり甲斐がありますね……！	자, 어떻게 변경할까요……. 꽤 힘들지만ㅎㅎ그만큼 보람이 있네요...
模様替えを任せられるとは……責任のある仕事ですね。ご期待に添えるよう、尽力致します。	변경을 맡길 수는……책임 있는 일이군요. 기대에 부응하고자 드립니다.
メイドとして、如何なる相手にも失礼をする事は許されません。十全を尽くして、接客致します。	메이드로서 어떤 상대에게도 실례를 하는 건 안 됩니다. 만전을 다하고, 접객합니다.
いらしたお客様には、気持ち良く帰って頂きたい……。メイドとして、それは当然の事です。	온 고객에게는 기분 좋게 돌아갔으면……. 메이드로서 그것은 당연한 일입니다.
こうして接客の練習をして自分の対応を確認していくと、どうすればより良くできるか、理解を深められますね……	이렇게 접객의 연습을 하고 자신의 대응을 확인하고 가면 어떻게 하면 더 잘 할 수 있을지 이해를 높일 수 있겠군요……
愛奴にする	애노로 한다
恋人のままがいい	연인인 채로가 좋다
「緊張」から「お近づき」に関係が進展しました。	「긴장」에서 「친근」으로 관계가 진전했습니다.
「お近づき」から「信頼」に関係が進展しました。	「친근」에서 「신뢰」로 관계가 진전했습니다.
「信頼」から「恋人」に関係が進展しました。	「신뢰」에서 「연인」으로 관계가 진전했습니다.
「恋人」から「愛奴」に関係が進展しました。	「연인」에서 「애노」로 관계가 진전했습니다.
時折笑顔を浮かべ、周囲の人々とも楽しげに会話を交わしているらしい。	때때로 웃는 얼굴을 띄워 주위의 사람들이라고도 즐거운 듯이 회화를 주고 받고 있는 것 같다.
メイドの成長は、ご主人様として、オーナーとして嬉しいものだった。	메이드의 성장은, 주인님으로서, 오너로서 기쁜 것이었다.
ご主人様……好きな人って、いるのかしら……？	주인님…… 좋아하는 사람은, 있을까……?
個人的にっていうこと？	개인적으로라고 말하는 일?
まあ……そういう意味で受け取って貰って構わないわ……で、どうなの？	뭐…… 그러한 의미로 받아도 상관없어요…… 로, 어때?
うーん、メイドみんなのこと好きだけど？	응, 메이드모두의 일 좋아하지만?
そうなの……	그래……
それがどうかした？	뭔가 잘못됬어?
いえ、もっと特別な何か……お気に入りの子が居たりとか、そういうことは無いのかしら？	아니요 좀 더 특별한 뭔가…… 마음에 드는 아이가 있거나 든지, 그런 일은 없는 것일까?
お気に入りかぁ……	마음에 드는 것인가……
そうよ……居るなら、少し教えて欲しいわね……駄目かしら？	그래요…… 있다면, 조금 가르쳐 주셨으면 하네요…… 안될까?
それとも、アタシが何番目なのか……それを教えてくれても、別にいいのよ……？	그렇지 않으면, 내가 몇번째인 것이나…… 그것을 가르쳐 주어도, 별로 좋은거야……?
えっと……それは、その……	어와…… 그것은, 그……
ご主人様は正直ね……答えられないのかしら？	주인님은 정직하구나…… 대답할 수 없는 것일까?
それで、アタシは何番目なの？	그래서, 나는 몇번째야?
答えてくれるまで、繰り返し聞いてみようかしら？	대답해 줄 때까지, 반복해 (들)물어 볼까?
は、はは……い、一番、かな？	응, 하하…… 제, 제일, 일까?
本当かしらね……？　ひょっとして、適当に答えてたりしない？	사실일까요……? 혹시, 적당하게 대답하기도 하고 하지 않아?
そんなことないよ。	그렇지 않아.
そう……ふぅん、一番なのね……	그렇게…… 후응, 제일인 거네……
うん。目の前に可愛い女の子がいるのに、それ以外の答えなんて選ぶはずないよ。	응. 눈앞에 사랑스러운 여자 아이가 있는데, 그 이외의 대답은 선택할 리가 없어.
……それって、嫌味なのかしら？	…… 그 거, 불쾌한 것일까?
……もういいわ。はぁ……ご主人様に聞いたのが、間違いだったようね。	…… 이제 되어요. 하아…… 주인님에 들었던 것이, 실수였던 것 같구나.
あ、いや……	아, 아니……
時間の無駄だったかしら……？	시간 낭비였을까……?
……俺のこと、気になってるのかな？	…… 나의 일, 신경이 쓰이고 있는 것일까?
えっと……何か用だった？	어와…… 뭔가 용무였던?
呼び出したのだから、そうに決まってるわよね……？	호출한 것이니까, 그렇게 정해져 있네요……?
まあ、そうだよね……	뭐, 그렇네요……
ねぇ、ご主人様……アタシには、理想の告白があるんだけど……聞きたい？	응, 주인님…… 나에게는, 이상의 고백이 있지만……(듣)묻고 싶어?
聞きたいのか、聞きたくないのか……ハッキリして欲しいわね……どうなの？	(듣)묻고 싶은 것인지, (듣)묻고 싶지 않은 것인지…… 분명하게해 주었으면 하네요…… 어때?
こ……告白！？	와…… 고백!?
そう言ったわよ……で、どうなのかしら？	그렇게 말했어요…… 로, 어떨까?
いや、それは。	아니, 그것은.
アタシは自分からするより、告白される方が好きね……ご主人様はどう？	나는 자신으로부터 하는 것보다, 고백되는 (분)편이 좋아하구나…… 주인님은 어때?
俺はその。	나는 그.
そういう訳だから、アタシに告白しても構わないのよ……？	그러한 (뜻)이유이니까, 나에게 고백해도 상관없는거야……?
えぇっ！？　は、はは……	네!? 하, 하하……
……何を笑っているのかしら、ご主人様？	…… 무엇을 웃고 있을까, 주인님?
いや、だって。	아니, 그렇지만.
女の子にここまで言わせておいて、それは無いんじゃないかしらね？	여자 아이에게 여기까지 말하게 해 둬, 그것은 없는 것이 아닐까요?
……その言い方だと、アタシがご主人様のことを好きだって、そういう前提があるように聞こえるわよ……	…… 그 말투라고, 내가 주인님의 일을 좋아한다고, 그러한 전제가 있도록(듯이) 들려요……
違うの？	다른 거야?
それは……別に、違うとは言ってないわよ……違うとは……	그것은…… 별로, 다르다고는 말하지 않아요…… 다르다고는……
それは……もちろん、好きよ……アタシもご主人様のこと……	그것은…… 물론, 좋아해요…… 나도 주인님의 일……
きっと、ご主人様が思っている何百倍も……アタシはご主人様の事を好きよ。	반드시, 주인님이 생각하고 있는 몇백배도…… 나는 주인님의 일을 좋아해요.
別にいいのよ、だって……好きなのは、本当の事だから……	별로 좋은 것, 그렇지만…… 좋아하는 것은, 사실이니까……
まったく、とんだ告白シーンだ。	완전히, 터무니 없는 고백 신이다.
それで、その……これでアタシ達は、両想いということでいいのよね……？	그래서, 그…… 이것으로 우리들은, 서로 사모함이라고 하는 일로 좋네요……?
まあ、そうなるかな？	뭐, 그렇게 될까나?
そう……アタシとご主人様が、そうなのね……ふふ……	그렇게…… 나와 주인님이, 그런거네…… 후후……
そんなに嬉しい？	그렇게 기뻐?
ご主人様なら、言わなくても分かってるでしょ？	주인 같으면, 말하지 않아도 알고 있겠죠?
それは、まあ……何となく。	그것은, 뭐…… 왠지 모르게.
でしょ？　いま、とても幸せな気分だから……えへへ……	그렇지? 지금, 매우 행복한 기분이니까…… 에헤헤……
……これから、その……今までツンツン、してたけど……	…… 지금부터, 그…… 지금까지 츤츤, 했지만……
ご主人様に、すっごく甘えちゃうから……か、覚悟しておきなさいよね？	주인님에, 굉장히 응석부려 버리기 때문에…… 가, 각오 해 두세요?
どうしたの、もじもじして……？	무슨 일이야, 머뭇머뭇 해……?
ご主人様は、私に……その、遠慮してたりしないかしら……？	주인님은, 나에게…… 그, 사양하기도 하고 하지 않을까……?
遠慮？　なんで？	사양? 어째서?
だって、そんな気がするのよ……どうなの？	왜냐하면, 그런 생각이 드는거야…… 어때?
遠慮なんてしてないよ。	사양 같은거 하고 있지 않아.
ううん、そんなことないわ。ねぇ、私には遠慮しなくてもいいのよ……？	으응, 그렇지 않아요. 저기, 나에게는 사양하지 않아도 괜찮은거야……?
だからしてないって。	그러니까 하고 있지 않다고.
アタシにだったら、ご主人様がしたいこと、全てしても構わないわ……	나에게라면, 주인님이 하고 싶은 것, 모두 해도 상관없어요……
何でもいいのよ？　ご主人様が望むなら、アタシはその全てに応えたいから……ね、どうなの？	뭐든지 좋은거야? 주인님이 바란다면, 나는 그 모두에 응하고 싶으…… 니까, 어때?
いきなりどうしたの？	갑자기 무슨 일이야?
それは、その……	그것은, 그……
どうしてそこまで言うのか、ちゃんと説明してくれないと。	어째서 거기까지 말하는지, 분명하게 설명해 주지 않으면.
ぅ……アタシにそれを言わせるの？　ご主人様も、以外と鈍感なのね……	…… 나에게 그것을 말하게 하는 거야? 주인님도, 의외로 둔한거네……
俺が？	내가?
それとも、そういうプレイが好みとか……そういうことなのかしら？	그렇지 않으면, 그러한 플레이가 기호라든지…… 그런 일인 것일까?
うーん、話が噛み合わないね。	응, 이야기가 서로 맞물리지 않는다.
そうかしら……？　そう、そうね……なら、この際だから……その、ハッキリ言っておくわ……	그런가……? 그래, 그렇구나…… 하면, 이 때이니까…… 그, 분명하게 말해요……
うん。	응.
アタシは、その……そういう状況で……セックスするのが、好きなんだけど……ご主人様は、どうなのかしら……	나는, 그…… 그러한 상황으로…… 섹스 하는 것이, 좋아하지만…… 주인님은, 어떨까……
俺の欲望の全てを受け入れ、奴隷のように俺の行為を受け入れる。	나의 욕망의 모두를 받아들여 노예와 같이 나의 행위를 받아들인다.
そんな関係を俺と結びたいみたいだった。	그런 관계를 나와 묶고 싶은 것 같았다.
夜伽を繰り返しているうちに、そういった性癖に目覚めてしまったのだろうか。	밤시중을 반복하고 있는 동안에, 그렇게 말한 버릇에 눈을 떠 버린 것일까.
そっか……そうなんだ。	그래…… 그렇다.
じゃあ、かなり酷いことをするかもしれないよ？	그러면, 꽤 심한 일을 할지도 몰라?
べ、別に……構わないわよ……ご主人様にされることなら……アタシはきっと、全て受け入れられると思わ……	별로…… 상관없어요…… 주인님으로 되는 것이라면…… 나는 반드시, 모두 받아들일 수 있으면 사원……
そ……それに、きっと……何をされても、感じちゃうと思うわ、アタシ……	…… 거기에, 반드시…… 무엇을 되어도, 느껴 버릴 것이라고 생각해요, 나……
だからご主人様、もっと遠慮しないで……何でも言って欲しいわ……ね？	그러니까 주인님, 좀 더 사양하지 않고…… 뭐든지 말했으면 좋…… 네요?
ふふ……ありがとう、ご主人様……	후후…… 고마워요, 주인님……
じゃあ、これからはご主人様の好きなように……アタシのことを、扱ってね……？	그러면, 지금부터는 주인님의 좋을대로…… 나의 일을, 취급해……?
ああ、そうするよ。	아, 그래 한다.
はぁ、今日の夕食も美味しかったな……	후~, 오늘의 저녁식사도 맛있었다……
俺はご飯が美味しくて暖かい布団があれば十分幸せだよ。	나는 밥이 맛있고 따뜻한 이불이 있으면 충분히 행복해.
……ご主人様って単純ね。それぐらいの事で幸せを感じるなんて。	…… 주인 같다는 것은 단순하구나. 그것 정도의 일로 행복을 느끼다니.
結構な事じゃないか。	상당한 일이 아닌가.
もう少し、オーナーとしての風格というか、威厳を見せて欲しいわね。	좀 더, 오너로서의 풍격이라고 할까, 위엄을 보였으면 좋네요.
……冷たい、かしら。	…… 차가운, 일까.
……いえ、ごめんなさい。今のは私が悪いわ……どうして私は、その……言葉を選ぶのが下手なのかしら……	…… 아니오, 미안해요. 지금 것은 내가 나빠요…… 어째서 나는, 그…… 말을 선택하는 것이 서투른 것일까……
……何かあった？	…… 뭔가 있었어?
少し、ね。エンパイアクラブで働くスタッフや、他のメイドと衝突してしまって。	조금. 엠파이어 클럽에서 일하는 스탭이나, 다른 메이드와 충돌해 버려.
どうも私は合理的というか、他人の感情に対して配慮が足らなくて……	아무래도 나는 합리적이라고 할까, 타인의 감정에 대해서 배려가 부족해서……
あぁ、そういう所はあるかも。	아, 그러한 곳은 있을지도.
別に、嫌われた訳ではないのだけれど、その……少しだけ空気が悪いかしら。	별로, 미움받았을 것은 아닌 것이지만, 그…… 약간 공기가 나쁠까.
……どうして分かるの？	…… 어째서 아는 거야?
分かるよ、俺は君のご主人様だからね。	아는, 나는 너의 주인님이니까.
……ふん、随分口が回るのね？	…… 흥, 상당히 입이 돌군요?
そうやって照れなくてもいいよ？	그렇게 수줍지 않아도 괜찮아?
照れてなんか、いないわ。	수줍은 적 따위, 없어요.
そういうところ、すごく可愛らしいと思う。	그러한 곳, 굉장히 사랑스럽다고 생각한다.
も、もうっ……！　ご主人様はいつもそう、軽々しくそうやって……！	도, 이제(벌써) ……! 주인님은 언제나 그렇게, 경솔하고 그렇게……!
少しずつでいいから、自分の考えてる事とか感情を素直に出してみてよ。	조금씩으로 좋으니까, 자신이 생각하고 있는 일이라든지 감정을 솔직하게 내 봐요.
……まぁ、たま～に笑ったり、はにかんだりする時が一番可愛いんだけどね。『ギャップ萌え』って奴かな？	…… 뭐, 이따금 웃거나 부끄러워하거나 할 때가 제일 사랑스럽지만 말야. 『갭 모에네』라는 녀석일까?
ひ、人に対して萌えなんて言葉を使わないでちょうだい！	히, 사람에 대해서 모에네같은 말을 사용하지 말아줘!
……はぁ、全く……でも、そうね……	…… 하아, 완전히…… 에서도, 그렇구나……
俺の言いたい事、分かってくれた？	나의 말하고 싶은 일, 알아 주었어?
……分かった。私はもう少しだけ、その……自分の感情に素直になってみるわ。	…… 알았다. 나는 조금만 더, 그…… 자신의 감정에 솔직해져 봐요.
私は、人と話したり……ご、ご主人様とこうして一緒にいる事を、それほど悪く思っていないのよ？	나는, 사람과 이야기하거나…… 주, 주인님과 이렇게 해 함께 있는 일을, 그만큼 나쁘다고 생각하지 않은거야?
俺の事、信頼してくれた？	나의 일, 신뢰해 주었어?
そういうのは、言葉で言うことではないわ……けれど、そうね。ご主人様は私にとって、それなりに大切な人よ。	그러한 것은, 말로 말하는 일은 아니어요…… 하지만, 그렇구나. 주인님은 나에게 있어, 그 나름대로 소중한 사람이야.
それなりかぁ。	그런 대로인가.
そう、それなり……ふふ。これからもよろしくね、ご主人様。	그래, 그런 대로…… 후후. 앞으로도 잘 부탁해, 주인님.
……ご主人様、その……	…… 주인님, 그……
……おこがましいとは、分かっているわ。私のような、無愛想なメイドが……えっと……	…… 주제넘다고는, 알고 있어요. 나와 같은, 무뚝뚝한 메이드가…… 엣또……
どうしたのかな……？	왜일까……?
……やっぱり、いいわ。無理よ。私には無理、どうせ無理だったのよ。	…… 역시, 좋아요. 무리여요. 나에게는 무리, 어차피 무리였던거야.
ごめんなさい、気の迷い、何でもない。何でも……ない。	미안해요, 기분의 헤매어, 아무것도 아니다. 아무것도…… 아니다.
何でもなくないよ、手紙で呼び出して、何でもないなんて。	아무것도 아니지 않아, 편지로 호출해, 아무것도 아니다니.
……多分、あの手紙には、気持ちが込められていたんだよね？	…… 아마, 그 편지에는, 기분이 담겨져 있던 것이지요?
……業務的な用事よ。	…… 업무적인 용무야.
それは嘘でしょ。	그것은 거짓말이겠지.
嘘なんかじゃない！　ただ、用事を忘れて……！	거짓말 따위가 아니다! 다만, 용무를 잊어……!
俺は待つよ？	나는 기다려?
待たれても、困るわよ……	기다려져도, 곤란해요……
けれど、立ち去ったりはしないで……ずっと俺の前にいた。	하지만, 떠나거나는 하지 않고…… 쭉 나의 앞에 있었다.
私は……私は、その……表情が少なくて、硬くて、不器用で……でも、ご、ご主人様の前なら……少しだけ笑う事ができて……	나는…… 나는, 그…… 표정이 적어, 딱딱하고, 서툴러…… 에서도, 주, 주인님의 앞이라면…… 약간 웃을 수가 있어……
一緒にいると、楽しいって、そう……思えて。気持ちがたくさん溢れてきて……	함께 있으면, 즐겁다고, 그렇게…… 생각되어. 기분이 많이 흘러넘쳐 와……
…………好きよ。ご主人様の、事が。	………… 좋아해요. 주인님의, 일이.
……ああ。	……아아.
